

2016年01月21日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,8918.08,-,39.75,-0.44
發行量加權股價指數,7664.01,-,35.11,-0.46
臺灣公司治理100指數,4220.1,-,28.51,-0.67
臺灣50指數,5559.56,-,25.04,-0.45
臺灣中型100指數,5593.75,-,34.81,-0.62
臺灣資訊科技指數,6640.25,+,8.11,0.12
臺灣發達指數,6549.89,-,41.94,-0.64
臺灣高股息指數,4751.92,-,38.27,-0.8
臺灣就業99指數,4673.1,-,32.09,-0.68
臺灣高薪100指數,4141.53,-,33.43,-0.8
臺灣低波動高股息指數,1151.47,-,16.52,-1.41
未含金融保險股指數,6527.61,-,20.22,-0.31
未含電子股指數,10962.11,-,116.09,-1.05
未含金融電子股指數,9675.09,-,87.37,-0.89
小型股300指數,4905.1,-,5.43,-0.11
水泥窯製類指數,359.51,-,4.23,-1.16
塑膠化工類指數,698.22,-,10.5,-1.48
機電類指數,1715.34,+,0.99,0.06
水泥類指數,93.12,-,1.05,-1.12
食品類指數,1255.72,-,13.78,-1.09
塑膠類指數,200.03,-,4.07,-1.99
紡織纖維類指數,505.27,-,7.47,-1.46
電機機械類指數,134.31,-,0.22,-0.16
電器電纜類指數,27.08,-,0.02,-0.07
化學生技醫療類指數,95.1,-,0.21,-0.22
化學類指數,86.46,-,0.17,-0.2
生技醫療類指數,74.99,-,0.19,-0.25
玻璃陶瓷類指數,32.41,-,0.48,-1.46
造紙類指數,140.63,-,0.62,-0.44
鋼鐵類指數,69.87,-,0.03,-0.04
橡膠類指數,259.03,-,2.35,-0.9
汽車類指數,236.75,-,2.29,-0.96
電子類指數,304.75,+,0.2,0.07
半導體類指數,102.48,+,0.25,0.24
電腦及週邊設備類指數,80.78,-,0.32,-0.39
光電類指數,26.47,+,0.56,2.16
通信網路類指數,111.98,-,0.45,-0.4
電子零組件類指數,67.08,-,0.58,-0.86
電子通路類指數,87.63,-,1.09,-1.23
資訊服務類指數,76.08,+,0.85,1.13
其他電子類指數,70.35,-,0.04,-0.06
建材營造類指數,202.63,-,3.01,-1.46
航運類指數,62.26,-,0.33,-0.53
