

2016年03月11日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10112.8,+,55.61,0.55
發行量加權股價指數,8706.14,+,45.44,0.52
臺灣公司治理100指數,4793.37,+,17.35,0.36
臺灣50指數,6363.53,+,34.24,0.54
臺灣中型100指數,6374.26,+,38.77,0.61
臺灣資訊科技指數,7602.38,+,55.91,0.74
臺灣發達指數,7447.59,+,28.94,0.39
臺灣高股息指數,5374.22,+,16.34,0.3
臺灣就業99指數,5304.48,+,37.1,0.7
臺灣高薪100指數,4720.51,+,16.64,0.35
臺灣低波動高股息指數,1327.28,+,11.12,0.84
未含金融保險股指數,7402.53,+,39.08,0.53
未含電子股指數,12445.14,+,51.86,0.42
未含金融電子股指數,10932.48,+,42.93,0.39
小型股300指數,5503.55,+,19.72,0.36
水泥窯製類指數,420.72,-,1.75,-0.41
塑膠化工類指數,796.63,+,4.16,0.52
機電類指數,1951.08,+,11.89,0.61
水泥類指數,108.24,+,0.02,0.02
食品類指數,1374.5,-,4.24,-0.31
塑膠類指數,227.27,+,0.54,0.24
紡織纖維類指數,556.03,+,3.84,0.7
電機機械類指數,154.89,+,0.9,0.58
電器電纜類指數,32.3,-,0.01,-0.03
化學生技醫療類指數,106.05,+,0.46,0.44
化學類指數,97.83,+,0.46,0.47
生技醫療類指數,82.36,+,0.32,0.39
玻璃陶瓷類指數,39.31,-,1.02,-2.53
造紙類指數,154.02,-,0.54,-0.35
鋼鐵類指數,87.4,+,0.99,1.15
橡膠類指數,312.92,+,6.4,2.09
汽車類指數,256.56,+,1.48,0.58
電子類指數,346.38,+,2.13,0.62
半導體類指數,116.56,+,0.78,0.67
電腦及週邊設備類指數,93.33,+,0.5,0.54
光電類指數,31.23,+,0.4,1.3
通信網路類指數,121.29,+,0.79,0.66
電子零組件類指數,75.57,+,0.1,0.13
電子通路類指數,99.41,+,0.03,0.03
資訊服務類指數,85.36,-,0.68,-0.79
其他電子類指數,81.32,+,0.38,0.47
建材營造類指數,241.21,+,3.03,1.27
航運類指數,68.22,-,0.25,-0.37
觀光類指數,113.49,-,0.94,-0.82
金融保險類指數,963.77,+,4.64,0.48
貿易百貨類指數,210.88,+,1.5,0.72
油電燃氣類指數,111.88,+,0.59,0.53
其他類指數,244.56,-,0.26,-0.11
