

2016年03月02日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9926.99,+,64.62,0.66
發行量加權股價指數,8544.05,+,58.36,0.69
臺灣公司治理100指數,4703.01,+,36.08,0.77
臺灣50指數,6240.06,+,53.84,0.87
臺灣中型100指數,6247.09,+,41.57,0.67
臺灣資訊科技指數,7478.88,+,47.67,0.64
臺灣發達指數,7320,+,61.14,0.84
臺灣高股息指數,5357.33,+,12.5,0.23
臺灣就業99指數,5185.33,+,42.22,0.82
臺灣高薪100指數,4629.4,+,37.6,0.82
臺灣低波動高股息指數,1305.13,+,7.75,0.6
未含金融保險股指數,7277.15,+,42.51,0.59
未含電子股指數,12148.66,+,78.57,0.65
未含金融電子股指數,10697.59,+,40.42,0.38
小型股300指數,5423.99,+,15.89,0.29
水泥窯製類指數,400.97,+,0.06,0.01
塑膠化工類指數,782.64,+,2.89,0.37
機電類指數,1923.17,+,13.17,0.69
水泥類指數,104,+,0.08,0.08
食品類指數,1358.91,-,8.83,-0.65
塑膠類指數,224.84,+,0.8,0.36
紡織纖維類指數,541.99,+,2.48,0.46
電機機械類指數,152.24,-,0.16,-0.1
電器電纜類指數,30.85,+,0.12,0.39
化學生技醫療類指數,103.89,+,0.58,0.56
化學類指數,95.19,+,0.22,0.23
生技醫療類指數,81.27,+,0.75,0.93
玻璃陶瓷類指數,35.9,-,0.11,-0.31
造紙類指數,147.58,+,0.98,0.67
鋼鐵類指數,83.04,+,0.74,0.9
橡膠類指數,298.41,+,0.44,0.15
汽車類指數,248.22,+,0.38,0.15
電子類指數,341.51,+,2.44,0.72
半導體類指數,115.4,+,0.66,0.58
電腦及週邊設備類指數,92.49,+,0.26,0.28
光電類指數,31.08,+,0.36,1.17
通信網路類指數,118.81,-,0.27,-0.23
電子零組件類指數,74.71,+,0.86,1.16
電子通路類指數,99.16,+,0.41,0.42
資訊服務類指數,83.09,+,0.52,0.63
其他電子類指數,78.63,+,1.57,2.04
建材營造類指數,225.67,+,2.12,0.95
航運類指數,67.77,+,1.49,2.25
觀光類指數,111.55,+,1.48,1.34
金融保險類指數,934.88,+,12.74,1.38
貿易百貨類指數,210.78,+,3.1,1.49
油電燃氣類指數,109.47,-,0.82,-0.74
其他類指數,243.47,+,1.15,0.47
臺指日報酬兩倍指數,10791.25,+,146.42,1.38
臺指日報酬反向一倍指數,9451.69,-,65.45,-0.69
電子類兩倍槓桿指數,8114.92,+,115.14,1.44
電子類反向指數,10629.71,-,77.05,-0.72
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10625.83,+,69.17,0.66
發行量加權股價報酬指數,13524.65,+,92.38,0.69
臺灣公司治理100報酬指數,4883.96,+,37.47,0.77
臺灣50報酬指數,9982.82,+,86.13,0.87
臺灣中型100報酬指數,9332.52,+,62.11,0.67
臺灣資訊科技報酬指數,11376.27,+,72.51,0.64
臺灣發達報酬指數,10578.21,+,88.35,0.84
臺灣高股息報酬指數,9490.68,+,22.15,0.23
臺灣就業99報酬指數,6122.93,+,49.86,0.82
臺灣高薪100報酬指數,4866.96,+,39.52,0.82
臺灣低波動高股息報酬指數,2691.81,+,15.97,0.6
未含金融電子股報酬指數,17015.27,+,64.3,0.38
小型股300報酬指數,5423.99,+,15.89,0.29
水泥類報酬指數,146.32,+,0.11,0.08
食品類報酬指數,1615.59,-,10.49,-0.65
塑膠類報酬指數,286.91,+,1.01,0.35
紡織纖維類報酬指數,684.29,+,3.13,0.46
電機機械類報酬指數,189.7,-,0.2,-0.11
電器電纜類報酬指數,35.28,+,0.14,0.4
化學生技醫療類報酬指數,130.41,+,0.73,0.56
化學類報酬指數,122.66,+,0.28,0.23
生技醫療類報酬指數,96.8,+,0.89,0.93
玻璃陶瓷類報酬指數,38.55,-,0.12,-0.31
造紙類報酬指數,176.19,+,1.18,0.67
鋼鐵類報酬指數,107.12,+,0.96,0.9
橡膠類報酬指數,371.97,+,0.55,0.15
汽車類報酬指數,302.75,+,0.47,0.16
電子類報酬指數,496.41,+,3.55,0.72
半導體類報酬指數,160.58,+,0.93,0.58
電腦及週邊設備類報酬指數,140.21,+,0.39,0.28
光電類報酬指數,37.82,+,0.43,1.15
