

2016年02月26日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9773.51,+,55.24,0.57
發行量加權股價指數,8411.16,+,45.3,0.54
臺灣公司治理100指數,4628.3,+,17.94,0.39
臺灣50指數,6136.47,+,20.14,0.33
臺灣中型100指數,6146.46,+,54.23,0.89
臺灣資訊科技指數,7345.2,-,17.46,-0.24
臺灣發達指數,7196.35,+,58.84,0.82
臺灣高股息指數,5319.81,+,65.35,1.24
臺灣就業99指數,5122.1,+,35.65,0.7
臺灣高薪100指數,4569.42,+,30.04,0.66
臺灣低波動高股息指數,1293.92,+,16.36,1.28
未含金融保險股指數,7160.53,+,34.74,0.49
未含電子股指數,12006.83,+,111.88,0.94
未含金融電子股指數,10575.26,+,99.69,0.95
小型股300指數,5340.62,+,47.18,0.89
水泥窯製類指數,399.96,+,2.24,0.56
塑膠化工類指數,773.9,+,12.14,1.59
機電類指數,1886.95,+,4.21,0.22
水泥類指數,104.2,+,0.59,0.57
食品類指數,1365.93,+,14.89,1.1
塑膠類指數,222.24,+,4.43,2.03
紡織纖維類指數,541.86,+,3.98,0.74
電機機械類指數,149.96,+,1.52,1.02
電器電纜類指數,30.01,+,0.1,0.33
化學生技醫療類指數,102.55,+,1.17,1.15
化學類指數,93.85,+,1.39,1.5
生技醫療類指數,80.31,+,0.63,0.79
玻璃陶瓷類指數,34.93,+,0.17,0.49
造紙類指數,145.87,-,0.4,-0.27
鋼鐵類指數,82.35,+,1.3,1.6
橡膠類指數,296.51,+,0.45,0.15
汽車類指數,248.46,+,0.92,0.37
電子類指數,335.05,+,0.65,0.19
半導體類指數,113.28,-,0.38,-0.33
電腦及週邊設備類指數,91.54,+,1.36,1.51
光電類指數,29.82,+,0.02,0.07
通信網路類指數,117.85,+,0.24,0.2
電子零組件類指數,72.93,+,1.05,1.46
電子通路類指數,99.01,+,1.11,1.13
資訊服務類指數,81.89,+,0.77,0.95
其他電子類指數,76.61,+,0.01,0.01
建材營造類指數,218.62,+,1.93,0.89
航運類指數,65.6,+,0.6,0.92
觀光類指數,109.67,+,0.5,0.46
金融保險類指數,923.37,+,8.34,0.91
貿易百貨類指數,208.19,+,0.25,0.12
油電燃氣類指數,107.98,-,0.03,-0.03
其他類指數,240.14,+,1.88,0.79
臺指日報酬兩倍指數,10459.47,+,112.06,1.08
臺指日報酬反向一倍指數,9602.22,-,52.28,-0.54
電子類兩倍槓桿指數,7812.31,+,30.25,0.39
電子類反向指數,10836.78,-,21.11,-0.19
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10461.54,+,59.13,0.57
發行量加權股價報酬指數,13314.3,+,71.7,0.54
臺灣公司治理100報酬指數,4806.38,+,18.64,0.39
臺灣50報酬指數,9817.09,+,32.21,0.33
臺灣中型100報酬指數,9182.18,+,81.01,0.89
臺灣資訊科技報酬指數,11172.93,-,26.57,-0.24
臺灣發達報酬指數,10399.53,+,85.04,0.82
臺灣高股息報酬指數,9424.21,+,115.78,1.24
臺灣就業99報酬指數,6048.26,+,42.09,0.7
臺灣高薪100報酬指數,4803.9,+,31.57,0.66
臺灣低波動高股息報酬指數,2668.69,+,33.74,1.28
未含金融電子股報酬指數,16820.69,+,158.56,0.95
小型股300報酬指數,5340.62,+,47.18,0.89
水泥類報酬指數,146.61,+,0.84,0.58
食品類報酬指數,1623.93,+,17.71,1.1
塑膠類報酬指數,283.6,+,5.65,2.03
紡織纖維類報酬指數,684.13,+,5.03,0.74
電機機械類報酬指數,186.86,+,1.89,1.02
電器電纜類報酬指數,34.32,+,0.12,0.35
化學生技醫療類報酬指數,128.73,+,1.47,1.16
化學類報酬指數,120.94,+,1.8,1.51
生技醫療類報酬指數,95.65,+,0.74,0.78
玻璃陶瓷類報酬指數,37.52,+,0.19,0.51
造紙類報酬指數,174.13,-,0.49,-0.28
鋼鐵類報酬指數,106.23,+,1.69,1.62
橡膠類報酬指數,369.6,+,0.56,0.15
汽車類報酬指數,303.04,+,1.13,0.37
電子類報酬指數,487.01,+,0.94,0.19
半導體類報酬指數,157.62,-,0.53,-0.34
電腦及週邊設備類報酬指數,138.78,+,2.07,1.51
光電類報酬指數,36.29,+,0.02,0.06
通信網路類報酬指數,188.82,+,0.39,0.21
電子零組件類報酬指數,104.86,+,1.5,1.45
電子通路類報酬指數,156.15,+,1.74,1.13
資訊服務類報酬指數,131.1,+,1.23,0.95
其他電子類報酬指數,92.35,+,0.01,0.01
建材營造類報酬指數,300.41,+,2.66,0.89
航運類報酬指數,78.99,+,0.71,0.91
觀光類報酬指數,124.46,+,0.56,0.45
金融保險類報酬指數,1193.62,+,10.78,0.91
貿易百貨類報酬指數,253.14,+,0.3,0.12
油電燃氣類報酬指數,129.82,-,0.04,-0.03
其他類報酬指數,319.03,+,2.49,0.79
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","76046772296","2028538806","707390"
"2.台灣存託憑證","12364405","2423880","680"
"3.受益憑證","0","0","0"
"4.ETF","7055365112","387228444","56850"
"5.受益證券","5970980","381000","92"
"6.變更交易股票","6081758","4253978","536"
"7.認購(售)權證","1698560960","1769682000","48888"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","76052854054","2032792784","707926"
"總計(1~12)","84825115511","4192508108","814436"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2673(6),548(4)
"下跌(跌停)",2554(28),204(0)
"持平",476,114
"未成交",4243,5
"無比價",751,4
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年02月26日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","14513092","2460","888888205","61.35","61.7","60.9","61.25","+","0.15","61.2","754","61.25","64","0.00"
="0051  ","元大中型100     ","62000","21","1523210","24.6","24.6","24.49","24.6","+","0.2","24.49","1","24.62","1","0.00"
="0052  ","FB科技          ","3000","2","117720","39.2","39.26","39.2","39.26","+","0.16","38.8","10","39.13","1","0.00"
="0053  ","元大電子        ","3000","2","79070","26.37","26.37","26.35","26.35","X","0","26.46","8","26.71","8","0.00"
="0054  ","元大台商50      ","26000","6","521830","20.19","20.19","19.96","20.15","+","0.2","19.55","3","20.34","8","0.00"
="0055  ","元大MSCI金融    ","698000","104","8512950","12.15","12.22","12.13","12.22","+","0.1","12.21","200","12.22","241","0.00"
="0056  ","元大高股息      ","3679767","1131","82386058","22.25","22.49","22.22","22.49","+","0.25","22.49","249","22.5","1,147","0.00"
="0057  ","FB摩台          ","1000","1","38070","38.07","38.07","38.07","38.07","+","0.51","37.9","50","37.99","63","0.00"
="0058  ","FB發達          ","0","0","0","--","--","--","--"," ","0","35.27","10","35.52","10","0.00"
="0059  ","FB金融          ","3000","3","85960","28.65","28.66","28.65","28.65","X","0","28.48","1","28.75","2","0.00"
="0061  ","元大寶滬深      ","14515179","3305","219116531","15.15","15.32","14.98","15","-","0.26","15","198","15.02","30","0.00"
="006203","元大MSCI台灣    ","0","0","0","--","--","--","--"," ","0","28.74","10","29","8","0.00"
="006204","永豐臺灣加權    ","1000","1","41500","41.5","41.5","41.5","41.5","+","0.16","41.35","15","41.5","2","0.00"
="006205","FB上証          ","11292250","2414","292504552","25.9","26.08","25.7","25.74","-","0.54","25.74","7","25.75","155","0.00"
="006206","元大上證50      ","2669000","785","64988120","24.4","24.54","24.22","24.23","-","0.46","24.23","39","24.27","60","0.00"
="006207","FH滬深          ","3705678","622","72693359","19.72","19.74","19.47","19.51","-","0.39","19.5","13","19.51","34","0.00"
="006208","FB台50          ","1000","1","34820","34.82","34.82","34.82","34.82","+","0.02","34.8","2","34.93","2","0.00"
="00631L","元大台灣50正2   ","5951181","1085","109348936","18.4","18.55","18.16","18.38","+","0.08","18.38","57","18.39","64","0.00"
="00632R","元大台灣50反1   ","33820939","6990","658398147","19.47","19.58","19.37","19.46","-","0.06","19.45","393","19.46","1,223","0.00"
="00633L","FB上証正2       ","92404087","14989","2343198193","25.33","25.59","25.1","25.13","-","0.47","25.13","135","25.14","13","0.00"
="00634R","FB上証反1       ","4676000","564","54923390","11.83","11.83","11.68","11.8","+","0.13","11.79","12","11.8","366","0.00"
="00635U","元大S&P黃金     ","1023100","223","21136719","20.61","20.7","20.61","20.67","+","0.09","20.67","110","20.68","31","0.00"
="00636 ","國泰中國A50     ","2855007","267","43592509","15.31","15.35","15.17","15.18","-","0.13","15.17","48","15.18","120","0.00"
="00637L","元大滬深300正2  ","139150050","13411","1311877105","9.41","9.53","9.35","9.35","-","0.18","9.34","786","9.35","952","0.00"
="00638R","元大滬深300反1  ","2749000","184","59788600","21.92","21.92","21.65","21.85","+","0.16","21.85","114","21.88","1","0.00"
="00639 ","FB深100         ","2661000","527","25714740","9.65","9.73","9.61","9.62","-","0.16","9.62","205","9.63","50","0.00"
="00640L","FB日本正2       ","9822007","1121","138314463","14.2","14.22","13.92","13.96","+","0.08","13.95","19","13.96","88","0.00"
="00641R","FB日本反1       ","1934000","329","42035480","21.61","21.85","21.6","21.84","-","0.03","21.82","18","21.84","244","0.00"
