

2016年03月07日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10050.14,+,14.3,0.14
發行量加權股價指數,8659.55,+,16,0.19
臺灣公司治理100指數,4770.77,+,10.13,0.21
臺灣50指數,6314.95,-,2.82,-0.04
臺灣中型100指數,6327.09,+,23.55,0.37
臺灣資訊科技指數,7459.06,-,21.23,-0.28
臺灣發達指數,7441.77,+,7.16,0.1
臺灣高股息指數,5384.2,-,1.9,-0.04
臺灣就業99指數,5276.88,+,17.08,0.32
臺灣高薪100指數,4705.75,+,7.64,0.16
臺灣低波動高股息指數,1322.2,+,6.69,0.51
未含金融保險股指數,7354.52,+,10.07,0.14
未含電子股指數,12475.44,+,101.18,0.82
未含金融電子股指數,10959.41,+,101.56,0.94
小型股300指數,5494.67,+,19,0.35
水泥窯製類指數,416.65,+,12.46,3.08
塑膠化工類指數,800.38,+,7.96,1
機電類指數,1926.92,-,6.72,-0.35
水泥類指數,107.37,+,2.77,2.65
食品類指數,1382.59,+,15.08,1.1
塑膠類指數,230.14,+,2.3,1.01
紡織纖維類指數,556.73,+,2.38,0.43
電機機械類指數,151.84,-,0.04,-0.03
電器電纜類指數,32.26,+,0.7,2.22
化學生技醫療類指數,105.52,+,0.4,0.38
化學類指數,98.44,+,1.72,1.78
生技醫療類指數,80.96,-,0.91,-1.11
玻璃陶瓷類指數,38.58,+,1.96,5.35
造紙類指數,153.81,+,1.3,0.85
鋼鐵類指數,89.18,+,2.25,2.59
橡膠類指數,307.06,+,5.91,1.96
汽車類指數,253.86,-,0.43,-0.17
電子類指數,342.16,-,1.28,-0.37
半導體類指數,114.89,-,0.41,-0.36
電腦及週邊設備類指數,92.28,-,0.08,-0.09
光電類指數,30.91,-,0.42,-1.34
通信網路類指數,120.23,+,0.82,0.69
電子零組件類指數,75.19,-,0.23,-0.3
電子通路類指數,99.51,+,0.5,0.5
資訊服務類指數,84.93,+,0.33,0.39
其他電子類指數,80.02,-,1.04,-1.28
建材營造類指數,240.14,+,4.02,1.7
航運類指數,68.43,+,0.42,0.62
觀光類指數,111.31,+,0.07,0.06
金融保險類指數,966.05,+,4.89,0.51
貿易百貨類指數,212.07,-,1.11,-0.52
油電燃氣類指數,113.8,+,1.94,1.73
其他類指數,243.78,+,0.19,0.08
臺指日報酬兩倍指數,11084.1,+,40.88,0.37
臺指日報酬反向一倍指數,9324.88,-,17.29,-0.19
電子類兩倍槓桿指數,8145.56,-,61.17,-0.75
電子類反向指數,10609.14,+,39.39,0.37
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10757.65,+,15.3,0.14
發行量加權股價報酬指數,13707.48,+,25.31,0.18
臺灣公司治理100報酬指數,4954.33,+,10.52,0.21
臺灣50報酬指數,10102.62,-,4.52,-0.04
臺灣中型100報酬指數,9452.02,+,35.17,0.37
臺灣資訊科技報酬指數,11346.13,-,32.29,-0.28
臺灣發達報酬指數,10754.19,+,10.35,0.1
臺灣高股息報酬指數,9538.27,-,3.36,-0.04
臺灣就業99報酬指數,6231.04,+,20.17,0.32
臺灣高薪100報酬指數,4947.23,+,8.04,0.16
臺灣低波動高股息報酬指數,2727.02,+,13.79,0.51
未含金融電子股報酬指數,17431.72,+,161.55,0.94
小型股300報酬指數,5494.67,+,19,0.35
水泥類報酬指數,151.06,+,3.9,2.65
食品類報酬指數,1643.74,+,17.93,1.1
塑膠類報酬指數,293.68,+,2.93,1.01
紡織纖維類報酬指數,702.9,+,3,0.43
電機機械類報酬指數,189.21,-,0.04,-0.02
電器電纜類報酬指數,36.88,+,0.79,2.19
化學生技醫療類報酬指數,132.46,+,0.5,0.38
化學類報酬指數,126.86,+,2.23,1.79
生技醫療類報酬指數,96.43,-,1.08,-1.11
玻璃陶瓷類報酬指數,41.44,+,2.1,5.34
造紙類報酬指數,183.62,+,1.55,0.85
鋼鐵類報酬指數,115.04,+,2.91,2.6
橡膠類報酬指數,382.76,+,7.38,1.97
汽車類報酬指數,309.62,-,0.53,-0.17
電子類報酬指數,497.34,-,1.86,-0.37
半導體類報酬指數,159.86,-,0.57,-0.36
電腦及週邊設備類報酬指數,139.9,-,0.12,-0.09
光電類報酬指數,37.61,-,0.51,-1.34
通信網路類報酬指數,192.62,+,1.31,0.68
電子零組件類報酬指數,108.11,-,0.33,-0.3
電子通路類報酬指數,156.94,+,0.79,0.51
資訊服務類報酬指數,135.96,+,0.53,0.39
其他電子類報酬指數,96.46,-,1.26,-1.29
建材營造類報酬指數,329.97,+,5.52,1.7
航運類報酬指數,82.41,+,0.51,0.62
觀光類報酬指數,126.32,+,0.08,0.06
金融保險類報酬指數,1248.79,+,6.32,0.51
貿易百貨類報酬指數,257.85,-,1.36,-0.52
油電燃氣類報酬指數,136.81,+,2.33,1.73
其他類報酬指數,323.87,+,0.26,0.08
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","84931197360","2435535602","914666"
"2.台灣存託憑證","27920078","5799949","1146"
"3.受益憑證","0","0","0"
"4.ETF","10189348132","503857818","68958"
"5.受益證券","8839570","546000","81"
"6.變更交易股票","8613963","4730561","790"
"7.認購(售)權證","2151522650","2034600000","58497"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","84939811323","2440266163","915456"
"總計(1~12)","97317441753","4985069930","1044138"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2363(39),443(19)
"下跌(跌停)",2919(33),343(0)
"持平",428,84
"未成交",4043,3
"無比價",757,2
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年03月07日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","21497714","3147","1360686374","63.2","63.7","62.9","63.1"," ","0","63.1","145","63.15","331","0.00"
="0051  ","元大中型100     ","57033","36","1450041","25.33","25.58","25.33","25.34","+","0.01","25.33","4","25.34","3","0.00"
="0052  ","FB科技          ","2000","2","80340","40.24","40.24","40.1","40.1","X","0","39.56","11","39.96","10","0.00"
="0053  ","元大電子        ","3000","2","81510","27.13","27.25","27.13","27.25","+","0.13","26","2","27.25","2","0.00"
="0054  ","元大台商50      ","38000","19","793820","20.75","20.9","20.75","20.87","+","0.13","20.88","1","21.5","11","0.00"
="0055  ","元大MSCI金融    ","740500","198","9524859","12.76","12.96","12.76","12.83","+","0.08","12.83","3","12.85","12","0.00"
="0056  ","元大高股息      ","2517198","919","57557687","22.77","22.98","22.77","22.78","+","0.01","22.78","3","22.8","27","0.00"
="0057  ","FB摩台          ","0","0","0","--","--","--","--"," ","0","38.84","50","38.95","58","0.00"
="0058  ","FB發達          ","0","0","0","--","--","--","--"," ","0","36.56","10","36.85","10","0.00"
="0059  ","FB金融          ","1000","1","30280","30.28","30.28","30.28","30.28","+","0.6","29.91","1","30.1","1","0.00"
="0061  ","元大寶滬深      ","9068660","2459","143662561","15.82","15.93","15.75","15.76","-","0.01","15.76","27","15.77","55","0.00"
="006203","元大MSCI台灣    ","5000","1","148000","29.6","29.6","29.6","29.6","X","0","29.1","2","30.5","1","0.00"
="006204","永豐臺灣加權    ","0","0","0","--","--","--","--"," ","0","42.56","15","42.81","15","0.00"
="006205","FB上証          ","9311040","2008","253871170","27.28","27.48","27.09","27.18","+","0.19","27.17","16","27.18","60","0.00"
="006206","元大上證50      ","3299000","910","85759880","26.03","26.21","25.74","25.8","-","0.1","25.8","7","25.81","1","0.00"
="006207","FH滬深          ","3360000","592","68107760","20.07","20.36","20.07","20.25","+","0.21","20.2","57","20.25","14","0.00"
="006208","FB台50          ","1000","1","36000","36","36","36","36","+","0.05","35.49","1","36.1","1","0.00"
="00631L","元大台灣50正2   ","7437838","1440","145255499","19.5","19.77","19.35","19.48"," ","0","19.46","4","19.48","49","0.00"
="00632R","元大台灣50反1   ","70077478","12452","1322445112","18.91","18.99","18.75","18.92","-","0.02","18.91","1,158","18.92","60","0.00"
="00633L","FB上証正2       ","122336051","15780","3534362715","28.95","29.33","28.36","28.46","+","0.36","28.45","97","28.46","368","0.00"
="00634R","FB上証反1       ","7539000","1101","81380980","10.9","10.9","10.71","10.88","-","0.08","10.88","163","10.89","15","0.00"
="00635U","元大S&P黃金     ","1318000","493","27615880","21.02","21.04","20.81","20.9","-","0.06","20.88","5","20.9","4","0.00"
="00636 ","國泰中國A50     ","3319000","320","53273140","16.07","16.2","15.92","15.95"," ","0","15.95","23","15.98","50","0.00"
="00637L","元大滬深300正2  ","156675504","13800","1679604956","10.76","10.88","10.52","10.56","+","0.13","10.55","541","10.56","774","0.00"
="00638R","元大滬深300反1  ","3274000","212","65748110","20.13","20.31","19.95","20.26","-","0.06","20.26","17","20.27","1","0.00"
="00639 ","FB深100         ","4421000","584","43572660","9.85","9.95","9.8","9.83","+","0.07","9.83","21","9.84","22","0.00"
="00640L","FB日本正2       ","4507009","726","67457639","14.98","15.04","14.9","14.96","-","0.2","14.95","61","14.96","295","0.00"
="00641R","FB日本反1       ","2112000","220","44185930","20.93","20.97","20.88","20.94","+","0.09","20.94","63","20.95","13","0.00"
="00642U","元大S&P石油     ","58070793","9992","937093614","15.97","16.26","15.97","16.25","+","0.74","16.24","282","16.25","638","0.00"
="00643 ","群益深証中小    ","1799000","353","27057280","14.97","15.15","14.97","15","+","0.03","15","473","15.03","2","0.00"
="00645 ","FB日本          ","820000","84","14174890","17.37","17.37","17.25","17.26","-","0.14","17.25","41","17.26","77","0.00"
="00646 ","元大S&P500      ","543000","82","10529440","19.44","19.44","19.37","19.37","-","0.07","19.37","18","19.39","5","0.00"
="00647L","元大S&P500正2   ","371000","56","6954550","17.81","18.81","17.81","18.76","-","0.02","18.75","1","18.76","99","0.00"
="00648R","元大S&P500反1   ","724000","221","14764700","20.42","20.42","20.37","20.42","-","0.03","20.41","13","20.42","78","0.00"
