

2016年02月15日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9387.19,+,6.69,0.07
發行量加權股價指數,8066.51,+,3.51,0.04
臺灣公司治理100指數,4460.44,-,3.16,-0.07
臺灣50指數,5880.54,-,11.79,-0.2
臺灣中型100指數,5913.01,+,16.72,0.28
臺灣資訊科技指數,7062.95,-,3.66,-0.05
臺灣發達指數,6899.65,+,12.48,0.18
臺灣高股息指數,5081.12,+,4.59,0.09
臺灣就業99指數,4910.21,+,9.45,0.19
臺灣高薪100指數,4383.46,-,1.49,-0.03
臺灣低波動高股息指數,1226.93,-,1.24,-0.1
未含金融保險股指數,6872.3,+,13.56,0.2
未含電子股指數,11488.09,+,20.4,0.18
未含金融電子股指數,10129.17,+,63.25,0.63
小型股300指數,5099.47,+,19.01,0.37
水泥窯製類指數,371.87,+,3.17,0.86
塑膠化工類指數,733.05,+,3.51,0.48
機電類指數,1812.01,-,0.74,-0.04
水泥類指數,96.74,+,1.13,1.18
食品類指數,1333.63,+,25.73,1.97
塑膠類指數,210.63,+,2.01,0.96
紡織纖維類指數,539.87,+,3.54,0.66
電機機械類指數,141.63,+,1.21,0.86
電器電纜類指數,28.06,+,0.04,0.14
化學生技醫療類指數,97.89,-,0.83,-0.84
化學類指數,88.8,-,0.4,-0.45
生技醫療類指數,77.36,-,0.99,-1.26
玻璃陶瓷類指數,32.75,-,0.28,-0.85
造紙類指數,142.33,+,0.72,0.51
鋼鐵類指數,75.12,+,1.7,2.32
橡膠類指數,276.62,+,0.55,0.2
汽車類指數,241.54,-,0.21,-0.09
電子類指數,321.98,-,0.23,-0.07
半導體類指數,108.95,-,0.04,-0.04
電腦及週邊設備類指數,87.45,+,0.15,0.17
光電類指數,28, ,--,--
通信網路類指數,115.88,+,0.87,0.76
電子零組件類指數,70.95,+,0.86,1.23
電子通路類指數,92.89,+,0.66,0.72
資訊服務類指數,78.66,-,0.06,-0.08
其他電子類指數,72.68,-,1.61,-2.17
建材營造類指數,212.03,+,0.05,0.02
航運類指數,63.29,+,0.47,0.75
觀光類指數,109.88,-,0.5,-0.45
金融保險類指數,880.97,-,8.93,-1
