

2016年01月27日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9126.07,+,20.23,0.22
發行量加權股價指數,7849.83,+,21.16,0.27
臺灣公司治理100指數,4335.35,+,17.95,0.42
臺灣50指數,5714.63,+,25.84,0.45
臺灣中型100指數,5721.88,+,11,0.19
臺灣資訊科技指數,6857.82,+,78.21,1.15
臺灣發達指數,6708.03,-,7.26,-0.11
臺灣高股息指數,4894.47,+,21.41,0.44
臺灣就業99指數,4773.61,+,14.35,0.3
臺灣高薪100指數,4254.91,+,14.11,0.33
臺灣低波動高股息指數,1174.5,+,1.39,0.12
未含金融保險股指數,6690.34,+,20.46,0.31
未含電子股指數,11141.8,-,0.99,-0.01
未含金融電子股指數,9821.98,-,1.97,-0.02
小型股300指數,4982.37,-,5.19,-0.1
水泥窯製類指數,359.25,+,0.55,0.15
塑膠化工類指數,710.83,-,0.94,-0.13
機電類指數,1768.39,+,8.36,0.47
水泥類指數,92.73,+,0.19,0.21
食品類指數,1288.92,+,16.91,1.33
塑膠類指數,204.03,-,0.17,-0.08
紡織纖維類指數,512.69,+,3.49,0.69
電機機械類指數,138.11,-,0.68,-0.49
電器電纜類指數,27.47,-,0.02,-0.07
化學生技醫療類指數,96.2,-,0.42,-0.43
化學類指數,87.47,-,0.39,-0.44
生技醫療類指數,75.86,-,0.32,-0.42
玻璃陶瓷類指數,32.99,-,0.04,-0.12
造紙類指數,141.26,+,0.29,0.21
鋼鐵類指數,71.83,-,0.11,-0.15
橡膠類指數,263.88,+,0.32,0.12
汽車類指數,237.87,+,0.14,0.06
電子類指數,314.23,+,1.6,0.51
半導體類指數,105.34,+,1.11,1.06
電腦及週邊設備類指數,85.46,+,1.28,1.52
光電類指數,27.11,-,0.42,-1.53
通信網路類指數,114.65,+,0.32,0.28
電子零組件類指數,69.14,-,0.3,-0.43
電子通路類指數,89.59,+,0.42,0.47
資訊服務類指數,78.08,+,0.16,0.21
其他電子類指數,72.57,-,0.14,-0.19
建材營造類指數,202.1,+,0.49,0.24
航運類指數,61.93,-,0.34,-0.55
觀光類指數,108.92,-,0.22,-0.2
金融保險類指數,855.15,+,0.18,0.02
貿易百貨類指數,196.69,+,2.92,1.51
油電燃氣類指數,102.78,-,0.95,-0.92
其他類指數,222.17,-,0.89,-0.4
臺指日報酬兩倍指數,9121.82,+,49.05,0.54
臺指日報酬反向一倍指數,10302.6,-,27.92,-0.27
電子類兩倍槓桿指數,6879.91,+,69.71,1.02
電子類反向指數,11569.22,-,59.51,-0.51
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9768.52,+,21.65,0.22
發行量加權股價報酬指數,12425.75,+,33.49,0.27
臺灣公司治理100報酬指數,4502.16,+,18.65,0.42
臺灣50報酬指數,9142.24,+,41.35,0.45
臺灣中型100報酬指數,8547.9,+,16.43,0.19
臺灣資訊科技報酬指數,10431.57,+,118.97,1.15
臺灣發達報酬指數,9693.85,-,10.49,-0.11
臺灣高股息報酬指數,8670.7,+,37.93,0.44
臺灣就業99報酬指數,5636.77,+,16.95,0.3
