

2016年01月04日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9455.75,-,253.16,-2.61
發行量加權股價指數,8114.26,-,223.8,-2.68
臺灣公司治理100指數,4442.16,-,136.85,-2.99
臺灣50指數,5918.25,-,187.19,-3.07
臺灣中型100指數,5952.48,-,133.78,-2.2
臺灣資訊科技指數,6923.96,-,175.08,-2.47
臺灣發達指數,6914.54,-,221.8,-3.11
臺灣高股息指數,5005.94,-,119.42,-2.33
臺灣就業99指數,4996.09,-,143.21,-2.79
臺灣高薪100指數,4431.66,-,135.7,-2.97
臺灣低波動高股息指數,1237.06,-,35.16,-2.76
未含金融保險股指數,6832.03,-,178.77,-2.55
未含電子股指數,11695.04,-,389.13,-3.22
未含金融電子股指數,10049.23,-,321.15,-3.1
小型股300指數,5142.91,-,87.87,-1.68
水泥窯製類指數,372.19,-,15.54,-4.01
塑膠化工類指數,715.88,-,35.13,-4.68
機電類指數,1803.02,-,40.42,-2.19
水泥類指數,96.5,-,3.97,-3.95
食品類指數,1305.61,-,16.06,-1.22
塑膠類指數,202.52,-,13.03,-6.05
紡織纖維類指數,535.21,-,15.85,-2.88
電機機械類指數,139.07,-,2.74,-1.93
電器電纜類指數,28.42,-,0.38,-1.32
化學生技醫療類指數,100.09,-,1.9,-1.86
化學類指數,89.55,-,1.7,-1.86
生技醫療類指數,80.22,-,1.54,-1.88
玻璃陶瓷類指數,33.38,-,1.5,-4.3
造紙類指數,148.04,-,1.96,-1.31
鋼鐵類指數,71.64,-,1.49,-2.04
橡膠類指數,270.9,-,6.36,-2.29
汽車類指數,263.91,-,8.57,-3.15
電子類指數,320.5,-,7.23,-2.21
半導體類指數,107.3,-,2.45,-2.23
電腦及週邊設備類指數,83.7,-,2.4,-2.79
光電類指數,28.15,-,0.97,-3.33
通信網路類指數,111.37,-,1.45,-1.29
電子零組件類指數,74.36,-,1.7,-2.24
電子通路類指數,91.1,-,1.99,-2.14
資訊服務類指數,79.82,-,1.29,-1.59
其他電子類指數,77.25,-,1.49,-1.89
建材營造類指數,222.59,-,5.32,-2.33
航運類指數,65.13,-,2.03,-3.02
觀光類指數,117.02,-,1.5,-1.27
金融保險類指數,957.25,-,34.88,-3.52
貿易百貨類指數,197.11,-,4.67,-2.31
油電燃氣類指數,98.88,-,2.42,-2.39
其他類指數,235.13,-,6.67,-2.76
臺指日報酬兩倍指數,9764.86,-,553.93,-5.37
臺指日報酬反向一倍指數,9985.18,+,261,2.68
電子類兩倍槓桿指數,7175.07,-,331.19,-4.41
電子類反向指數,11370.78,+,245.43,2.21
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10121.42,-,270.98,-2.61
