

2016年01月15日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9019.53,+,24.53,0.27
發行量加權股價指數,7762.01,+,19.13,0.25
臺灣公司治理100指數,4309.99,+,15.91,0.37
臺灣50指數,5689.4,+,41.11,0.73
臺灣中型100指數,5586.35,-,32.52,-0.58
臺灣資訊科技指數,6714.32,+,141.57,2.15
臺灣發達指數,6682.3,+,1.1,0.02
臺灣高股息指數,4790.1,-,34.65,-0.72
臺灣就業99指數,4735.74,-,26.96,-0.57
臺灣高薪100指數,4223.9,-,13.99,-0.33
臺灣低波動高股息指數,1180.15,-,5.69,-0.48
未含金融保險股指數,6592.03,+,38.82,0.59
未含電子股指數,11140.35,-,66.12,-0.59
未含金融電子股指數,9772.21,-,3.49,-0.04
小型股300指數,4834.1,-,2.66,-0.05
水泥窯製類指數,366.8,+,0.03,0.01
塑膠化工類指數,708.92,+,2.08,0.29
機電類指數,1730.09,+,15.9,0.93
水泥類指數,95.81,+,0.28,0.29
食品類指數,1268.87,-,1.3,-0.1
塑膠類指數,205.64,+,0.77,0.38
紡織纖維類指數,512.8,+,3.77,0.74
電機機械類指數,131.16,-,1.1,-0.83
電器電纜類指數,27.09,-,0.06,-0.22
化學生技醫療類指數,93.11,+,0.46,0.5
化學類指數,84.94,-,0.53,-0.62
生技醫療類指數,73.18,+,1.23,1.71
玻璃陶瓷類指數,31.59,-,0.5,-1.56
造紙類指數,141.01,-,0.26,-0.18
鋼鐵類指數,70.8,+,0.23,0.33
橡膠類指數,261.72,-,1.18,-0.45
汽車類指數,243.49,-,4.41,-1.78
電子類指數,307.73,+,3.03,0.99
半導體類指數,103.43,+,2.65,2.63
電腦及週邊設備類指數,81.56,-,0.47,-0.57
光電類指數,26.15,+,0.46,1.79
通信網路類指數,111.59,-,1.16,-1.03
電子零組件類指數,69.59, ,--,--
電子通路類指數,88.42,-,0.22,-0.25
資訊服務類指數,74.68,+,0.09,0.12
其他電子類指數,71.77,-,0.39,-0.54
建材營造類指數,207.79,-,0.71,-0.34
航運類指數,62.37,-,0.73,-1.16
觀光類指數,110.52,+,1.55,1.42
金融保險類指數,866.14,-,17.63,-1.99
貿易百貨類指數,189.32,+,1.9,1.01
油電燃氣類指數,101.04,-,0.26,-0.26
其他類指數,223.47,-,0.38,-0.17
臺指日報酬兩倍指數,8928.01,+,43.9,0.49
臺指日報酬反向一倍指數,10429.82,-,25.83,-0.25
電子類兩倍槓桿指數,6606.82,+,128.84,1.99
電子類反向指數,11828.86,-,118.81,-0.99
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9654.49,+,26.27,0.27
發行量加權股價報酬指數,12286.75,+,30.3,0.25
臺灣公司治理100報酬指數,4475.82,+,16.52,0.37
臺灣50報酬指數,9101.88,+,65.78,0.73
臺灣中型100報酬指數,8345.43,-,48.58,-0.58
臺灣資訊科技報酬指數,10213.3,+,215.35,2.15
臺灣發達報酬指數,9656.66,+,1.59,0.02
臺灣高股息報酬指數,8485.8,-,61.38,-0.72
臺灣就業99報酬指數,5592.04,-,31.84,-0.57
臺灣高薪100報酬指數,4440.66,-,14.7,-0.33
臺灣低波動高股息報酬指數,2434.05,-,11.74,-0.48
未含金融電子股報酬指數,15543.39,-,5.55,-0.04
小型股300報酬指數,4834.1,-,2.66,-0.05
水泥類報酬指數,134.79,+,0.39,0.29
食品類報酬指數,1508.54,-,1.54,-0.1
塑膠類報酬指數,262.41,+,0.97,0.37
紡織纖維類報酬指數,647.43,+,4.75,0.74
