

2016年01月13日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9094.9,+,72.14,0.8
發行量加權股價指數,7824.61,+,56.16,0.72
臺灣公司治理100指數,4335.65,+,25.63,0.59
臺灣50指數,5708.47,+,39.64,0.7
臺灣中型100指數,5674.4,+,38.72,0.69
臺灣資訊科技指數,6635.77,+,28.35,0.43
臺灣發達指數,6739.29,+,77.3,1.16
臺灣高股息指數,4844.8,+,16.18,0.34
臺灣就業99指數,4809.83,+,16.96,0.35
臺灣高薪100指數,4280.66,+,20.31,0.48
臺灣低波動高股息指數,1196.64,+,7.33,0.62
未含金融保險股指數,6614.79,+,56.03,0.85
未含電子股指數,11327.5,+,80.36,0.71
未含金融電子股指數,9853.17,+,102.29,1.05
小型股300指數,4912.4,+,37.63,0.77
水泥窯製類指數,369.66,+,5.99,1.65
塑膠化工類指數,710.62,+,6.2,0.88
機電類指數,1732.44,+,12.47,0.73
水泥類指數,96.24,+,1.47,1.55
食品類指數,1262.7,+,20.92,1.68
塑膠類指數,205.53,+,2.36,1.16
紡織纖維類指數,514.37,+,4.19,0.82
電機機械類指數,134.97,+,0.81,0.6
電器電纜類指數,27.3,+,0.14,0.52
化學生技醫療類指數,93.89,+,1.12,1.21
化學類指數,86.78,+,0.81,0.94
生技醫療類指數,72.76,+,1.07,1.49
玻璃陶瓷類指數,32.41,+,0.69,2.18
造紙類指數,142.4,+,0.06,0.04
鋼鐵類指數,70.87,+,0.71,1.01
橡膠類指數,263.78,-,2.79,-1.05
汽車類指數,250.85,+,1.32,0.53
電子類指數,307.85,+,2.23,0.73
半導體類指數,101.88,+,0.36,0.35
電腦及週邊設備類指數,82.48,+,0.59,0.72
光電類指數,26.43,+,0.81,3.16
通信網路類指數,112.55,+,0.56,0.5
電子零組件類指數,71.15,+,0.54,0.76
電子通路類指數,88.85,+,0.21,0.24
資訊服務類指數,75.82,-,0.06,-0.08
其他電子類指數,72.76,+,0.72,1
建材營造類指數,210.62,+,0.48,0.23
航運類指數,63.42,+,0.4,0.63
觀光類指數,109.31,+,0.4,0.37
金融保險類指數,899.75,-,1.03,-0.11
貿易百貨類指數,190.2,+,3.71,1.99
油電燃氣類指數,101.2,+,2.39,2.42
其他類指數,228.94,+,1.31,0.58
臺指日報酬兩倍指數,9073.66,+,129.32,1.45
臺指日報酬反向一倍指數,10347.57,-,75.35,-0.72
電子類兩倍槓桿指數,6613.32,+,95.12,1.46
電子類反向指數,11826.66,-,86.93,-0.73
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9735.16,+,77.22,0.8
發行量加權股價報酬指數,12385.83,+,88.9,0.72
臺灣公司治理100報酬指數,4502.46,+,26.61,0.59
臺灣50報酬指數,9132.37,+,63.41,0.7
臺灣中型100報酬指數,8476.97,+,57.84,0.69
臺灣資訊科技報酬指數,10093.81,+,43.12,0.43
臺灣發達報酬指數,9739.01,+,111.7,1.16
臺灣高股息報酬指數,8582.7,+,28.66,0.34
臺灣就業99報酬指數,5679.53,+,20.02,0.35
臺灣高薪100報酬指數,4500.33,+,21.36,0.48
臺灣低波動高股息報酬指數,2468.06,+,15.12,0.62
未含金融電子股報酬指數,15672.15,+,162.69,1.05
小型股300報酬指數,4912.4,+,37.63,0.77
水泥類報酬指數,135.41,+,2.07,1.55
食品類報酬指數,1501.21,+,24.88,1.69
塑膠類報酬指數,262.28,+,3.01,1.16
紡織纖維類報酬指數,649.43,+,5.29,0.82
電機機械類報酬指數,168.18,+,1.01,0.6
電器電纜類報酬指數,31.21,+,0.15,0.48
化學生技醫療類報酬指數,117.86,+,1.4,1.2
化學類報酬指數,111.83,+,1.04,0.94
生技醫療類報酬指數,86.66,+,1.26,1.48
玻璃陶瓷類報酬指數,34.81,+,0.74,2.17
造紙類報酬指數,170,+,0.08,0.05
鋼鐵類報酬指數,91.42,+,0.92,1.02
橡膠類報酬指數,328.81,-,3.47,-1.04
汽車類報酬指數,305.95,+,1.6,0.53
電子類報酬指數,447.47,+,3.24,0.73
半導體類報酬指數,141.76,+,0.5,0.35
電腦及週邊設備類報酬指數,125.04,+,0.89,0.72
光電類報酬指數,32.16,+,0.98,3.14
通信網路類報酬指數,180.32,+,0.88,0.49
電子零組件類報酬指數,102.3,+,0.78,0.77
電子通路類報酬指數,140.13,+,0.33,0.24
資訊服務類報酬指數,121.38,-,0.1,-0.08
其他電子類報酬指數,87.72,+,0.88,1.01
建材營造類報酬指數,289.41,+,0.65,0.23
航運類報酬指數,76.38,+,0.49,0.65
觀光類報酬指數,124.05,+,0.46,0.37
金融保險類報酬指數,1163.08,-,1.34,-0.12
貿易百貨類報酬指數,231.26,+,4.51,1.99
油電燃氣類報酬指數,121.67,+,2.88,2.42
其他類報酬指數,304.15,+,1.74,0.58
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","67107942042","1739617555","671000"
"2.台灣存託憑證","24119136","9245030","882"
"3.受益憑證","0","0","0"
"4.ETF","7619302923","382146754","58065"
"5.受益證券","5512370","355000","108"
"6.變更交易股票","8133334","3094011","646"
"7.認購(售)權證","1823642380","2057397000","54460"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","67116075376","1742711566","671646"
"總計(1~12)","76588652185","4191855350","785161"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2696(5),494(4)
"下跌(跌停)",2626(35),270(2)
"持平",542,102
"未成交",4838,6
"無比價",788,3
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月13日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","11848432","5664","677682867","57","57.5","56.75","57.15","+","0.65","57.1","46","57.15","12","0.00"
="0051  ","元大中型100     ","55179","25","1269849","23.2","23.2","22.95","23.07","+","0.13","22.97","9","23.09","25","0.00"
="0052  ","FB科技          ","2000","2","71430","35.77","35.77","35.66","35.66","+","0.46","35.31","11","35.66","10","0.00"
="0053  ","元大電子        ","3000","3","73450","24.5","24.5","24.45","24.45","+","0.21","24.3","8","24.5","8","0.00"
="0054  ","元大台商50      ","7000","5","131820","18.8","18.88","18.8","18.86","+","0.31","18.77","8","18.83","7","0.00"
="0055  ","元大MSCI金融    ","346952","147","4170593","12.05","12.15","11.95","11.98","+","0.01","11.98","7","11.99","2","0.00"
="0056  ","元大高股息      ","2852017","1279","59126063","20.8","20.92","20.6","20.73","+","0.03","20.73","22","20.74","2","0.00"
="0057  ","FB摩台          ","4000","3","141350","35.39","35.39","35.25","35.32","+","0.28","35.1","50","35.18","63","0.00"
="0058  ","FB發達          ","7000","4","232130","33.13","33.34","33.02","33.02","-","0.16","33.07","10","33.3","10","0.00"
="0059  ","FB金融          ","2000","2","56380","28.28","28.28","28.1","28.1","+","0.23","27.87","1","28","1","0.00"
="0060  ","新台灣          ","4000","3","105330","26.29","26.4","26.29","26.35","X","0","26.13","10","26.38","8","0.00"
="0061  ","元大寶滬深      ","7754200","1561","126894428","16.43","16.56","16.18","16.25","+","0.04","16.24","154","16.25","96","0.00"
="006203","元大MSCI台灣    ","177000","8","4763390","26.85","26.96","26.78","26.78","+","0.31","26.6","1","26.84","8","0.00"
="006204","永豐臺灣加權    ","6060","7","235796","38.81","39","38.81","38.82","+","0.28","38.73","16","38.91","15","0.00"
