

2016年02月02日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9458.05,-,25.31,-0.27
發行量加權股價指數,8131.24,-,25.72,-0.32
臺灣公司治理100指數,4492.88,-,19.24,-0.43
臺灣50指數,5930.61,-,31.71,-0.53
臺灣中型100指數,5979.48,-,6.83,-0.11
臺灣資訊科技指數,7034.36,-,31.17,-0.44
臺灣發達指數,6994.17,-,28.17,-0.4
臺灣高股息指數,5135.28,+,34.92,0.68
臺灣就業99指數,4961.17,-,1.14,-0.02
臺灣高薪100指數,4437.84,-,11.44,-0.26
臺灣低波動高股息指數,1239.92,+,0.5,0.04
未含金融保險股指數,6905.04,-,18.44,-0.27
未含電子股指數,11632.81,-,23.36,-0.2
未含金融電子股指數,10189.05,-,2.99,-0.03
小型股300指數,5110.44,+,4.58,0.09
水泥窯製類指數,372.81,-,3.54,-0.94
塑膠化工類指數,737.84,+,0.74,0.1
機電類指數,1819.27,-,7.67,-0.42
水泥類指數,96.81,-,1.07,-1.09
食品類指數,1335.28,+,11.53,0.87
塑膠類指數,211.63,+,0.7,0.33
紡織纖維類指數,541.34,-,5.39,-0.99
電機機械類指數,142.22,-,0.85,-0.59
電器電纜類指數,28.02,+,0.05,0.18
化學生技醫療類指數,99.3,-,0.23,-0.23
化學類指數,89.92,-,0.48,-0.53
生技醫療類指數,78.63,+,0.05,0.06
玻璃陶瓷類指數,33.15,-,0.04,-0.12
造紙類指數,142.73,-,0.3,-0.21
鋼鐵類指數,74.46,+,1.19,1.62
橡膠類指數,277.42,-,1.46,-0.52
汽車類指數,245.32,-,3.18,-1.28
電子類指數,323.27,-,1.36,-0.42
半導體類指數,108.02,-,0.59,-0.54
電腦及週邊設備類指數,88.94,+,0.73,0.83
光電類指數,28.38,-,0.05,-0.18
通信網路類指數,115.25,-,0.16,-0.14
電子零組件類指數,71.09,-,0.36,-0.5
電子通路類指數,91.93,-,0.27,-0.29
資訊服務類指數,79,-,0.4,-0.5
其他電子類指數,75.82,-,1.06,-1.38
建材營造類指數,210.98,-,0.64,-0.3
航運類指數,63.53,-,0.04,-0.06
觀光類指數,111.23,-,0.4,-0.36
金融保險類指數,907.77,-,5.87,-0.64
貿易百貨類指數,203.92,+,0.66,0.32
油電燃氣類指數,105.45,-,0.12,-0.11
其他類指數,233.92, ,--,--
臺指日報酬兩倍指數,9781.73,-,62.08,-0.63
臺指日報酬反向一倍指數,9939.89,+,31.24,0.32
電子類兩倍槓桿指數,7278.09,-,61.5,-0.84
電子類反向指數,11240.32,+,46.89,0.42
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10123.88,-,27.09,-0.27
發行量加權股價報酬指數,12871.2,-,40.73,-0.32
臺灣公司治理100報酬指數,4665.75,-,19.98,-0.43
臺灣50報酬指數,9487.75,-,50.74,-0.53
臺灣中型100報酬指數,8932.73,-,10.2,-0.11
臺灣資訊科技報酬指數,10700.11,-,47.42,-0.44
臺灣發達報酬指數,10107.36,-,40.71,-0.4
臺灣高股息報酬指數,9097.3,+,61.87,0.68
臺灣就業99報酬指數,5858.24,-,1.34,-0.02
臺灣高薪100報酬指數,4665.57,-,12.03,-0.26
臺灣低波動高股息報酬指數,2557.32,+,1.04,0.04
未含金融電子股報酬指數,16206.4,-,4.76,-0.03
小型股300報酬指數,5110.44,+,4.58,0.09
水泥類報酬指數,136.21,-,1.5,-1.09
食品類報酬指數,1587.49,+,13.7,0.87
塑膠類報酬指數,270.06,+,0.89,0.33
紡織纖維類報酬指數,683.48,-,6.8,-0.99
電機機械類報酬指數,177.22,-,1.05,-0.59
電器電纜類報酬指數,32.04,+,0.05,0.16
化學生技醫療類報酬指數,124.65,-,0.3,-0.24
化學類報酬指數,115.87,-,0.62,-0.53
生技醫療類報酬指數,93.66,+,0.07,0.07
玻璃陶瓷類報酬指數,35.61,-,0.04,-0.11
造紙類報酬指數,170.4,-,0.34,-0.2
鋼鐵類報酬指數,96.05,+,1.53,1.62
橡膠類報酬指數,345.81,-,1.81,-0.52
汽車類報酬指數,299.21,-,3.88,-1.28
電子類報酬指數,469.9,-,1.96,-0.42
半導體類報酬指數,150.3,-,0.83,-0.55
電腦及週邊設備類報酬指數,134.83,+,1.1,0.82
光電類報酬指數,34.54,-,0.05,-0.14
通信網路類報酬指數,184.65,-,0.26,-0.14
電子零組件類報酬指數,102.21,-,0.53,-0.52
電子通路類報酬指數,144.99,-,0.43,-0.3
資訊服務類報酬指數,126.46,-,0.65,-0.51
其他電子類報酬指數,91.4,-,1.28,-1.38
建材營造類報酬指數,289.9,-,0.89,-0.31
航運類報酬指數,76.5,-,0.06,-0.08
觀光類報酬指數,126.22,-,0.47,-0.37
金融保險類報酬指數,1173.46,-,7.59,-0.64
貿易百貨類報酬指數,247.95,+,0.8,0.32
油電燃氣類報酬指數,126.78,-,0.14,-0.11
其他類報酬指數,310.76,-,0.01,---
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","66551879320","1803050217","667499"
"2.台灣存託憑證","19363381","4565145","820"
"3.受益憑證","0","0","0"
"4.ETF","5972038891","363624818","54323"
"5.受益證券","12999110","906000","56"
"6.變更交易股票","8482263","4527815","556"
"7.認購(售)權證","1247027070","1402096000","38892"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","66560361583","1807578032","668055"
"總計(1~12)","73811790035","3578769995","762146"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2232(5),368(4)
"下跌(跌停)",2716(48),383(0)
"持平",578,115
"未成交",5349,6
"無比價",830,4
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年02月02日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","4584277","1748","272135216","59.45","59.55","59","59.35","-","0.2","59.35","568","59.4","29","0.00"
="0051  ","元大中型100     ","27000","14","651010","24.06","24.15","24.06","24.15","+","0.09","24.07","1","24.15","5","0.00"
="0052  ","FB科技          ","1000","1","37550","37.55","37.55","37.55","37.55"," ","0","37.37","1","37.71","10","0.00"
="0053  ","元大電子        ","4000","4","102160","25.7","25.7","25.46","25.54","-","0.1","25.51","8","25.75","8","0.00"
="0054  ","元大台商50      ","1000","1","19510","19.51","19.51","19.51","19.51","X","0","19.62","8","19.8","8","0.00"
="0055  ","元大MSCI金融    ","337010","117","4069488","12.05","12.18","12","12.07","-","0.04","12.07","12","12.08","1","0.00"
="0056  ","元大高股息      ","4284610","1347","92989372","21.57","21.8","21.55","21.72","+","0.14","21.72","126","21.73","23","0.00"
="0057  ","FB摩台          ","3000","2","110140","36.68","36.73","36.68","36.73","-","0.1","36.74","50","36.83","58","0.00"
="0058  ","FB發達          ","0","0","0","--","--","--","--"," ","0","34.4","10","34.64","10","0.00"
="0059  ","FB金融          ","1000","1","28210","28.21","28.21","28.21","28.21","+","0.02","28.16","1","28.43","2","0.00"
="0060  ","新台灣          ","13000","9","347390","26.65","26.8","26.65","26.8","+","0.11","26.75","10","26.89","5","0.00"
="0061  ","元大寶滬深      ","11007500","2120","165031470","14.84","15.09","14.81","15","+","0.14","15","61","15.01","12","0.00"
="006203","元大MSCI台灣    ","33000","4","919780","27.88","27.94","27.86","27.94","X","0","27.85","10","27.94","3","0.00"
="006204","永豐臺灣加權    ","1819","2","72989","40","40","40","40","-","0.27","40.2","1","40.28","5","0.00"
="006205","FB上証          ","7010500","1568","179908150","25.3","25.89","25.23","25.73","+","0.27","25.73","25","25.75","2","0.00"
="006206","元大上證50      ","2563018","1467","62753067","24.19","24.65","24.08","24.45","+","0.24","24.45","5","24.6","151","0.00"
="006207","FH滬深          ","1143023","254","22178860","19.24","19.55","19.11","19.4","+","0.14","19.4","83","19.41","1","0.00"
="006208","FB台50          ","1000","1","33880","33.88","33.88","33.88","33.88"," ","0","33.6","1","33.9","1","0.00"
="00631L","元大台灣50正2   ","6004045","1565","103313731","17.13","17.34","17.01","17.2","-","0.07","17.2","89","17.21","3","0.00"
="00632R","元大台灣50反1   ","16164487","2534","325461712","20.2","20.24","20.05","20.12","+","0.03","20.12","31","20.13","16","0.00"
="00633L","FB上証正2       ","91274570","15744","2283992526","24.36","25.6","24.16","25.23","+","0.71","25.23","308","25.24","46","0.00"
="00634R","FB上証反1       ","9088700","836","108459772","12.14","12.16","11.79","11.85","-","0.13","11.85","29","11.86","3","0.00"
="00635U","元大S&P黃金     ","525000","157","9906670","18.88","18.91","18.84","18.85","+","0.07","18.84","2","18.85","2","0.00"
="00636 ","國泰中國A50     ","3369000","307","51412860","15.07","15.4","15.03","15.3","+","0.2","15.29","2","15.3","41","0.00"
="00637L","元大滬深300正2  ","150608200","14875","1401692300","9.08","9.52","9","9.38","+","0.24","9.38","1,442","9.39","11","0.00"
="00638R","元大滬深300反1  ","2348000","245","52003360","22.56","22.65","22","22.15","-","0.26","22.15","44","22.17","1,052","0.00"
="00639 ","FB深100         ","1761400","428","16778186","9.4","9.65","9.35","9.59","+","0.16","9.59","41","9.6","1","0.00"
="00640L","FB日本正2       ","3186000","548","58180560","18.22","18.44","18.08","18.08","-","0.32","18.06","114","18.08","28","0.00"
="00641R","FB日本反1       ","1855000","276","37184320","20.05","20.14","19.96","20.13","+","0.13","20.13","372","20.14","7","0.00"
="00642U","元大S&P石油     ","37006959","6818","562637222","15.25","15.28","15.15","15.17","-","0.46","15.17","134","15.18","820","0.00"
="00643 ","群益深証中小    ","2086000","412","30785020","14.49","14.92","14.47","14.81","+","0.26","14.81","55","14.82","3","0.00"
="00645 ","FB日本          ","1056000","75","19439260","18.45","18.47","18.33","18.33","-","0.19","18.32","2","18.33","345","0.00"
