

2016年03月10日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10057.19,+,31.09,0.31
發行量加權股價指數,8660.7,+,26.59,0.31
臺灣公司治理100指數,4776.02,+,19.45,0.41
臺灣50指數,6329.29,+,24.89,0.39
臺灣中型100指數,6335.49,+,26.7,0.42
臺灣資訊科技指數,7546.47,+,49.82,0.66
臺灣發達指數,7418.65,+,21.81,0.29
臺灣高股息指數,5357.88,+,19.43,0.36
臺灣就業99指數,5267.38,+,8.44,0.16
臺灣高薪100指數,4703.87,+,16.07,0.34
臺灣低波動高股息指數,1316.16,+,5.1,0.39
未含金融保險股指數,7363.45,+,25.73,0.35
未含電子股指數,12393.28,+,19.83,0.16
未含金融電子股指數,10889.55,+,23.25,0.21
小型股300指數,5483.83,+,15.4,0.28
水泥窯製類指數,422.47,+,3.37,0.8
塑膠化工類指數,792.47,-,0.14,-0.02
機電類指數,1939.19,+,8.84,0.46
水泥類指數,108.22,+,1.49,1.4
食品類指數,1378.74,+,8.73,0.64
塑膠類指數,226.73,-,0.92,-0.4
紡織纖維類指數,552.19,+,1.79,0.33
電機機械類指數,153.99,+,1.42,0.93
電器電纜類指數,32.31,+,0.33,1.03
化學生技醫療類指數,105.59,+,0.94,0.9
化學類指數,97.37,+,0.35,0.36
生技醫療類指數,82.04,+,1.2,1.48
玻璃陶瓷類指數,40.33,-,0.86,-2.09
造紙類指數,154.56,+,0.13,0.08
鋼鐵類指數,86.41,+,0.2,0.23
橡膠類指數,306.52,+,1.42,0.47
汽車類指數,255.08,+,2.05,0.81
電子類指數,344.25,+,1.5,0.44
半導體類指數,115.78,+,0.62,0.54
電腦及週邊設備類指數,92.83,+,0.34,0.37
光電類指數,30.83,+,0.09,0.29
通信網路類指數,120.5,+,0.37,0.31
電子零組件類指數,75.47,+,0.81,1.08
電子通路類指數,99.38,+,0.35,0.35
資訊服務類指數,86.04,+,1.08,1.27
其他電子類指數,80.94,-,0.01,-0.01
建材營造類指數,238.18,+,0.58,0.24
航運類指數,68.47,-,0.21,-0.31
觀光類指數,114.43,+,1.53,1.36
金融保險類指數,959.13,+,0.16,0.02
貿易百貨類指數,209.38,+,1.29,0.62
油電燃氣類指數,111.29,-,1.28,-1.14
其他類指數,244.82,+,2.03,0.84
臺指日報酬兩倍指數,11086.81,+,67.87,0.62
臺指日報酬反向一倍指數,9323.43,-,28.8,-0.31
電子類兩倍槓桿指數,8245.19,+,71.54,0.88
電子類反向指數,10544.5,-,46.35,-0.44
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10765.19,+,33.27,0.31
發行量加權股價報酬指數,13709.32,+,42.1,0.31
臺灣公司治理100報酬指數,4959.78,+,20.2,0.41
臺灣50報酬指數,10125.57,+,39.82,0.39
臺灣中型100報酬指數,9464.57,+,39.89,0.42
臺灣資訊科技報酬指數,11479.09,+,75.78,0.66
臺灣發達報酬指數,10720.77,+,31.51,0.29
臺灣高股息報酬指數,9491.64,+,34.42,0.36
臺灣就業99報酬指數,6219.82,+,9.97,0.16
臺灣高薪100報酬指數,4945.25,+,16.89,0.34
臺灣低波動高股息報酬指數,2714.57,+,10.53,0.39
未含金融電子股報酬指數,17320.59,+,36.98,0.21
小型股300報酬指數,5483.83,+,15.4,0.28
水泥類報酬指數,152.26,+,2.1,1.4
食品類報酬指數,1639.16,+,10.38,0.64
塑膠類報酬指數,289.33,-,1.17,-0.4
紡織纖維類報酬指數,697.17,+,2.26,0.33
電機機械類報酬指數,191.89,+,1.78,0.94
電器電纜類報酬指數,36.95,+,0.38,1.04
化學生技醫療類報酬指數,132.55,+,1.18,0.9
化學類報酬指數,125.47,+,0.44,0.35
生技醫療類報酬指數,97.72,+,1.43,1.49
玻璃陶瓷類報酬指數,43.32,-,0.92,-2.08
造紙類報酬指數,184.51,+,0.16,0.09
鋼鐵類報酬指數,111.47,+,0.26,0.23
橡膠類報酬指數,382.08,+,1.77,0.47
