

2016年01月20日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,8957.83,-,191.09,-2.09
發行量加權股價指數,7699.12,-,155.76,-1.98
臺灣公司治理100指數,4248.61,-,77.31,-1.79
臺灣50指數,5584.6,-,124.96,-2.19
臺灣中型100指數,5628.56,-,112.55,-1.96
臺灣資訊科技指數,6632.14,-,156.65,-2.31
臺灣發達指數,6591.83,-,128.82,-1.92
臺灣高股息指數,4790.19,-,65.91,-1.36
臺灣就業99指數,4705.19,-,85.22,-1.78
臺灣高薪100指數,4174.96,-,77.85,-1.83
臺灣低波動高股息指數,1167.99,-,24.07,-2.02
未含金融保險股指數,6547.83,-,129.48,-1.94
未含電子股指數,11078.2,-,172.69,-1.53
未含金融電子股指數,9762.46,-,123.5,-1.25
小型股300指數,4910.53,-,98.66,-1.97
水泥窯製類指數,363.74,-,3.83,-1.04
塑膠化工類指數,708.72,-,7.33,-1.02
機電類指數,1714.35,-,41.94,-2.39
水泥類指數,94.17,-,0.96,-1.01
食品類指數,1269.5,+,2.01,0.16
塑膠類指數,204.1,-,1.19,-0.58
紡織纖維類指數,512.74,-,3.22,-0.62
電機機械類指數,134.53,-,4.02,-2.9
電器電纜類指數,27.1,-,0.36,-1.31
化學生技醫療類指數,95.31,-,2.14,-2.2
化學類指數,86.63,-,1.5,-1.7
生技醫療類指數,75.18,-,2.09,-2.7
玻璃陶瓷類指數,32.89,-,0.4,-1.2
造紙類指數,141.25,-,1.3,-0.91
鋼鐵類指數,69.9,-,1.27,-1.78
橡膠類指數,261.38,-,3.56,-1.34
汽車類指數,239.04,-,7.93,-3.21
電子類指數,304.55,-,7.41,-2.38
半導體類指數,102.23,-,2.45,-2.34
電腦及週邊設備類指數,81.1,-,1.94,-2.34
光電類指數,25.91,-,1.07,-3.97
通信網路類指數,112.43,-,0.88,-0.78
電子零組件類指數,67.66,-,1.83,-2.63
電子通路類指數,88.72,-,0.89,-0.99
資訊服務類指數,75.23,-,1.88,-2.44
其他電子類指數,70.39,-,2.36,-3.24
建材營造類指數,205.64,-,4.48,-2.13
航運類指數,62.59,-,1.48,-2.31
觀光類指數,109.49,-,1.4,-1.26
金融保險類指數,851.06,-,19.83,-2.28
貿易百貨類指數,194.2,-,2.58,-1.31
油電燃氣類指數,101.2,+,0.72,0.72
其他類指數,220.29,-,4.89,-2.17
臺指日報酬兩倍指數,8779.7,-,362.58,-3.97
臺指日報酬反向一倍指數,10510.13,+,204.36,1.98
電子類兩倍槓桿指數,6466.55,-,322.52,-4.75
電子類反向指數,11944.51,+,277.14,2.38
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9588.44,-,204.55,-2.09
發行量加權股價報酬指數,12187.2,-,246.55,-1.98
臺灣公司治理100報酬指數,4412.08,-,80.28,-1.79
臺灣50報酬指數,8934.22,-,199.9,-2.19
臺灣中型100報酬指數,8408.49,-,168.14,-1.96
臺灣資訊科技報酬指數,10088.29,-,238.29,-2.31
臺灣發達報酬指數,9525.93,-,186.15,-1.92
臺灣高股息報酬指數,8485.97,-,116.75,-1.36
臺灣就業99報酬指數,5555.98,-,100.62,-1.78
臺灣高薪100報酬指數,4389.2,-,81.85,-1.83
臺灣低波動高股息報酬指數,2408.96,-,49.65,-2.02
未含金融電子股報酬指數,15527.88,-,196.44,-1.25
小型股300報酬指數,4910.53,-,98.66,-1.97
水泥類報酬指數,132.48,-,1.35,-1.01
食品類報酬指數,1509.29,+,2.39,0.16
塑膠類報酬指數,260.45,-,1.53,-0.58
紡織纖維類報酬指數,647.36,-,4.07,-0.62
電機機械類報酬指數,167.63,-,5.01,-2.9
電器電纜類報酬指數,30.99,-,0.41,-1.31
化學生技醫療類報酬指數,119.64,-,2.69,-2.2
化學類報酬指數,111.63,-,1.94,-1.71
生技醫療類報酬指數,89.55,-,2.49,-2.71
玻璃陶瓷類報酬指數,35.32,-,0.44,-1.23
造紙類報酬指數,168.63,-,1.54,-0.9
鋼鐵類報酬指數,90.17,-,1.63,-1.78
橡膠類報酬指數,325.82,-,4.43,-1.34
汽車類報酬指數,291.55,-,9.67,-3.21
電子類報酬指數,442.68,-,10.77,-2.38
半導體類報酬指數,142.25,-,3.41,-2.34
電腦及週邊設備類報酬指數,122.95,-,2.94,-2.34
光電類報酬指數,31.53,-,1.31,-3.99
通信網路類報酬指數,180.14,-,1.4,-0.77
電子零組件類報酬指數,97.29,-,2.63,-2.63
電子通路類報酬指數,139.92,-,1.41,-1
資訊服務類報酬指數,120.44,-,3.01,-2.44
其他電子類報酬指數,84.86,-,2.85,-3.25
建材營造類報酬指數,282.56,-,6.16,-2.13
航運類報酬指數,75.37,-,1.78,-2.31
觀光類報酬指數,124.25,-,1.59,-1.26
金融保險類報酬指數,1100.14,-,25.64,-2.28
貿易百貨類報酬指數,236.13,-,3.13,-1.31
油電燃氣類報酬指數,121.66,+,0.86,0.71
其他類報酬指數,292.67,-,6.49,-2.17
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","78497897432","2096530244","788974"
"2.台灣存託憑證","20508050","7042973","918"
"3.受益憑證","0","0","0"
"4.ETF","9174844148","472119132","76760"
"5.受益證券","2060460","125000","70"
"6.變更交易股票","7661012","2669066","603"
"7.認購(售)權證","2206293860","2417307000","66820"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","78505558444","2099199310","789577"
"總計(1~12)","89909264962","4995793415","934145"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",1820(3),106(1)
"下跌(跌停)",3885(48),716(1)
"持平",264,42
"未成交",4707,5
"無比價",937,6
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月20日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","22688368","7993","1270701758","56.85","56.85","55.6","55.9","-","1.35","55.85","43","55.9","96","0.00"
="0051  ","元大中型100     ","54999","34","1268286","23.33","23.33","22.9","22.99","-","0.37","22.85","1","22.99","2","0.00"
="0052  ","FB科技          ","4000","3","141860","35.6","35.6","35.42","35.42","-","0.69","35.4","10","35.76","10","0.00"
