

2016年01月26日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9105.84,-,68.72,-0.75
發行量加權股價指數,7828.67,-,65.48,-0.83
臺灣公司治理100指數,4317.4,-,45.54,-1.04
臺灣50指數,5688.79,-,61.19,-1.06
臺灣中型100指數,5710.88,-,37,-0.64
臺灣資訊科技指數,6779.61,-,82.66,-1.2
臺灣發達指數,6715.29,-,42.97,-0.64
臺灣高股息指數,4873.06,-,18.64,-0.38
臺灣就業99指數,4759.26,-,40.75,-0.85
臺灣高薪100指數,4240.8,-,41.94,-0.98
臺灣低波動高股息指數,1173.11,-,10.95,-0.92
未含金融保險股指數,6669.88,-,49.22,-0.73
未含電子股指數,11142.79,-,105.1,-0.93
未含金融電子股指數,9823.95,-,71.55,-0.72
小型股300指數,4987.56,-,20.53,-0.41
水泥窯製類指數,358.7,-,3.9,-1.08
塑膠化工類指數,711.77,-,7.19,-1
機電類指數,1760.03,-,12.71,-0.72
水泥類指數,92.54,-,1.11,-1.19
食品類指數,1272.01,-,5.95,-0.47
塑膠類指數,204.2,-,2.34,-1.13
紡織纖維類指數,509.2,-,6.1,-1.18
電機機械類指數,138.79,-,0.19,-0.14
電器電纜類指數,27.49,-,0.13,-0.47
化學生技醫療類指數,96.62,-,0.85,-0.87
化學類指數,87.86,-,0.96,-1.08
生技醫療類指數,76.18,-,0.5,-0.65
玻璃陶瓷類指數,33.03,-,0.16,-0.48
造紙類指數,140.97,-,0.52,-0.37
鋼鐵類指數,71.94,-,0.22,-0.3
橡膠類指數,263.56,-,1.41,-0.53
汽車類指數,237.73,-,3.94,-1.63
電子類指數,312.63,-,2.33,-0.74
半導體類指數,104.23,-,1.21,-1.15
電腦及週邊設備類指數,84.18,-,1.05,-1.23
光電類指數,27.53,+,0.56,2.08
通信網路類指數,114.33,-,0.25,-0.22
電子零組件類指數,69.44,-,0.77,-1.1
電子通路類指數,89.17,-,0.74,-0.82
資訊服務類指數,77.92,-,0.27,-0.35
其他電子類指數,72.71,-,0.57,-0.78
建材營造類指數,201.61,-,1.43,-0.7
航運類指數,62.27,-,0.32,-0.51
觀光類指數,109.14,-,1.28,-1.16
金融保險類指數,854.97,-,12.9,-1.49
貿易百貨類指數,193.77,-,1.45,-0.74
油電燃氣類指數,103.73,-,0.02,-0.02
其他類指數,223.06,-,1.45,-0.65
臺指日報酬兩倍指數,9072.77,-,153.05,-1.66
臺指日報酬反向一倍指數,10330.52,+,84.98,0.83
電子類兩倍槓桿指數,6810.2,-,102.27,-1.48
電子類反向指數,11628.73,+,85.39,0.74
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9746.87,-,73.56,-0.75
發行量加權股價報酬指數,12392.26,-,103.65,-0.83
臺灣公司治理100報酬指數,4483.51,-,47.3,-1.04
臺灣50報酬指數,9100.89,-,97.89,-1.06
臺灣中型100報酬指數,8531.47,-,55.28,-0.64
臺灣資訊科技報酬指數,10312.6,-,125.73,-1.2
臺灣發達報酬指數,9704.34,-,62.1,-0.64
臺灣高股息報酬指數,8632.77,-,33.03,-0.38
臺灣就業99報酬指數,5619.82,-,48.11,-0.85
臺灣高薪100報酬指數,4458.42,-,44.1,-0.98
臺灣低波動高股息報酬指數,2419.53,-,22.57,-0.92
未含金融電子股報酬指數,15625.68,-,113.81,-0.72
小型股300報酬指數,4987.56,-,20.53,-0.41
水泥類報酬指數,130.19,-,1.57,-1.19
食品類報酬指數,1512.27,-,7.07,-0.47
塑膠類報酬指數,260.59,-,2.98,-1.13
紡織纖維類報酬指數,642.9,-,7.7,-1.18
電機機械類報酬指數,172.94,-,0.24,-0.14
電器電纜類報酬指數,31.44,-,0.14,-0.44
化學生技醫療類報酬指數,121.29,-,1.07,-0.87
化學類報酬指數,113.22,-,1.24,-1.08
生技醫療類報酬指數,90.74,-,0.6,-0.66
玻璃陶瓷類報酬指數,35.48,-,0.17,-0.48
造紙類報酬指數,168.29,-,0.63,-0.37
鋼鐵類報酬指數,92.79,-,0.29,-0.31
橡膠類報酬指數,328.53,-,1.76,-0.53
汽車類報酬指數,289.95,-,4.81,-1.63
電子類報酬指數,454.43,-,3.38,-0.74
半導體類報酬指數,145.04,-,1.67,-1.14
電腦及週邊設備類報酬指數,127.62,-,1.59,-1.23
光電類報酬指數,33.5,+,0.68,2.07
通信網路類報酬指數,183.18,-,0.4,-0.22
電子零組件類報酬指數,99.85,-,1.1,-1.09
電子通路類報酬指數,140.63,-,1.17,-0.83
資訊服務類報酬指數,124.74,-,0.43,-0.34
其他電子類報酬指數,87.66,-,0.69,-0.78
建材營造類報酬指數,277.03,-,1.97,-0.71
航運類報酬指數,74.99,-,0.39,-0.52
觀光類報酬指數,123.85,-,1.46,-1.17
金融保險類報酬指數,1105.2,-,16.68,-1.49
貿易百貨類報酬指數,235.61,-,1.76,-0.74
油電燃氣類報酬指數,124.71,-,0.02,-0.02
其他類報酬指數,296.34,-,1.93,-0.65
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","54187095640","1542363960","560223"
"2.台灣存託憑證","8638600","2736944","454"
"3.受益憑證","0","0","0"
"4.ETF","6094333814","347695206","55182"
"5.受益證券","427514860","30276000","198"
"6.變更交易股票","8195079","4037136","521"
"7.認購(售)權證","1623662620","1798581000","47351"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","54195290719","1546401096","560744"
"總計(1~12)","62349440613","3725690246","663929"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",1984(2),231(2)
"下跌(跌停)",3202(41),526(0)
"持平",391,102
"未成交",5450,11
"無比價",736,4
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月26日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
