

2016年01月18日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9092.09,+,72.56,0.8
發行量加權股價指數,7811.18,+,49.17,0.63
臺灣公司治理100指數,4310.04,+,0.05,--
臺灣50指數,5679.88,-,9.52,-0.17
臺灣中型100指數,5706.64,+,120.29,2.15
臺灣資訊科技指數,6746.49,+,32.17,0.48
臺灣發達指數,6687.81,+,5.51,0.08
臺灣高股息指數,4854.98,+,64.88,1.35
臺灣就業99指數,4770.71,+,34.97,0.74
臺灣高薪100指數,4231.44,+,7.54,0.18
臺灣低波動高股息指數,1189.39,+,9.24,0.78
未含金融保險股指數,6639.69,+,47.66,0.72
未含電子股指數,11210.44,+,70.09,0.63
未含金融電子股指數,9856.15,+,83.94,0.86
小型股300指數,4959.01,+,124.91,2.58
水泥窯製類指數,366.2,-,0.6,-0.16
塑膠化工類指數,713.55,+,4.63,0.65
機電類指數,1742.84,+,12.75,0.74
水泥類指數,95.14,-,0.67,-0.7
食品類指數,1260.64,-,8.23,-0.65
塑膠類指數,205.46,-,0.18,-0.09
紡織纖維類指數,513.69,+,0.89,0.17
電機機械類指數,136,+,4.84,3.69
電器電纜類指數,27.28,+,0.19,0.7
化學生技醫療類指數,96.02,+,2.91,3.13
化學類指數,86.92,+,1.98,2.33
生技醫療類指數,76.06,+,2.88,3.94
玻璃陶瓷類指數,32.48,+,0.89,2.82
造紙類指數,141.92,+,0.91,0.65
鋼鐵類指數,70.39,-,0.41,-0.58
橡膠類指數,263.12,+,1.4,0.53
汽車類指數,246.4,+,2.91,1.2
電子類指數,309.69,+,1.96,0.64
半導體類指數,104.04,+,0.61,0.59
電腦及週邊設備類指數,82.35,+,0.79,0.97
光電類指數,26.69,+,0.54,2.07
通信網路類指數,112.08,+,0.49,0.44
電子零組件類指數,69.86,+,0.27,0.39
電子通路類指數,88.73,+,0.31,0.35
資訊服務類指數,76.04,+,1.36,1.82
其他電子類指數,71.87,+,0.1,0.14
建材營造類指數,209.91,+,2.12,1.02
航運類指數,64.4,+,2.03,3.25
觀光類指數,112.59,+,2.07,1.87
金融保險類指數,866.45,+,0.31,0.04
貿易百貨類指數,193.83,+,4.51,2.38
油電燃氣類指數,101.3,+,0.26,0.26
其他類指數,225.27,+,1.8,0.81
臺指日報酬兩倍指數,9041.12,+,113.11,1.27
臺指日報酬反向一倍指數,10363.75,-,66.07,-0.63
電子類兩倍槓桿指數,6690.98,+,84.16,1.27
電子類反向指數,11753.52,-,75.34,-0.64
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,9732.15,+,77.66,0.8
發行量加權股價報酬指數,12364.57,+,77.82,0.63
臺灣公司治理100報酬指數,4475.87,+,0.05,--
臺灣50報酬指數,--, ,--,--
臺灣中型100報酬指數,--, ,--,--
臺灣資訊科技報酬指數,--, ,--,--
臺灣發達報酬指數,--, ,--,--
臺灣高股息報酬指數,--, ,--,--
臺灣就業99報酬指數,5633.33,+,41.29,0.74
臺灣高薪100報酬指數,4448.58,+,7.92,0.18
臺灣低波動高股息報酬指數,2453.1,+,19.05,0.78
未含金融電子股報酬指數,15676.9,+,133.51,0.86
小型股300報酬指數,4959.01,+,124.91,2.58
水泥類報酬指數,133.86,-,0.93,-0.69
食品類報酬指數,1498.76,-,9.78,-0.65
塑膠類報酬指數,262.18,-,0.23,-0.09
紡織纖維類報酬指數,648.56,+,1.13,0.17
電機機械類報酬指數,169.47,+,6.04,3.7
電器電纜類報酬指數,31.19,+,0.21,0.68
化學生技醫療類報酬指數,120.54,+,3.65,3.12
化學類報酬指數,112.01,+,2.56,2.34
生技醫療類報酬指數,90.6,+,3.44,3.95
玻璃陶瓷類報酬指數,34.88,+,0.95,2.8
造紙類報酬指數,169.43,+,1.09,0.65
鋼鐵類報酬指數,90.8,-,0.53,-0.58
橡膠類報酬指數,327.98,+,1.74,0.53
汽車類報酬指數,300.52,+,3.54,1.19
電子類報酬指數,450.15,+,2.85,0.64
半導體類報酬指數,144.77,+,0.85,0.59
電腦及週邊設備類報酬指數,124.85,+,1.2,0.97
光電類報酬指數,32.47,+,0.65,2.04
通信網路類報酬指數,179.57,+,0.78,0.44
電子零組件類報酬指數,100.46,+,0.4,0.4
電子通路類報酬指數,139.94,+,0.49,0.35
資訊服務類報酬指數,121.73,+,2.17,1.81
其他電子類報酬指數,86.65,+,0.13,0.15
建材營造類報酬指數,288.44,+,2.91,1.02
航運類報酬指數,77.55,+,2.45,3.26
觀光類報酬指數,127.77,+,2.35,1.87
金融保險類報酬指數,1120.03,+,0.39,0.03
貿易百貨類報酬指數,235.68,+,5.49,2.38
油電燃氣類報酬指數,121.79,+,0.32,0.26
其他類報酬指數,299.28,+,2.4,0.81
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","71563434836","1962671894","774262"
"2.台灣存託憑證","35812094","9613433","968"
"3.受益憑證","0","0","0"
"4.ETF","8185997677","427560257","63695"
"5.受益證券","6599590","422000","91"
"6.變更交易股票","5094669","2464202","474"
"7.認購(售)權證","1896633750","2.1538E+9","60042"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","71568529505","1965136096","774736"
"總計(1~12)","81693572616","4556531786","899532"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",3198(29),688(24)
"下跌(跌停)",2164(28),132(0)
"持平",372,44
"未成交",4734,9
"無比價",1086,2
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年01月18日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","13014340","4379","736737370","55.9","57.3","55.8","57.1","+","0.4","57.05","43","57.1","80","0.00"
="0051  ","元大中型100     ","70000","36","1586970","22.07","23.05","22.07","23.05","+","0.74","23.05","5","23.27","10","0.00"
="0052  ","FB科技          ","2000","2","70990","35.38","35.61","35.38","35.61","-","0.24","35.91","10","36.27","10","0.00"
="0053  ","元大電子        ","12000","9","292090","24.1","24.56","24.1","24.56","+","0.05","24.48","8","24.71","8","0.00"
="0054  ","元大台商50      ","20000","10","371330","18.5","18.71","18.29","18.7","+","0.16","18.78","8","18.96","8","0.00"
="0055  ","元大MSCI金融    ","851050","270","9693209","11.31","11.5","11.31","11.5","+","0.04","11.49","9","11.5","8","0.00"
="0056  ","元大高股息      ","4207600","1961","85834919","20.4","20.8","20.14","20.77","+","0.17","20.76","3","20.77","4","0.00"
="0057  ","FB摩台          ","48000","7","1679900","34.37","35.07","34.37","34.95","+","0.26","35.11","50","35.19","58","0.00"
="0058  ","FB發達          ","1000","1","32680","32.68","32.68","32.68","32.68","X","0","33.03","10","33.26","10","0.00"
="0059  ","FB金融          ","3000","3","79440","26.48","26.48","26.48","26.48","-","0.23","26.71","1","26.97","1","0.00"
="0060  ","新台灣          ","2000","2","50700","25.3","25.4","25.3","25.4","X","0","25.76","10","26.01","8","0.00"
="0061  ","元大寶滬深      ","5500250","1372","87112640","15.51","16.08","15.51","16.08","+","0.28","16.08","69","16.09","9","0.00"
