

2016年02月25日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9718.27,+,83.16,0.86
發行量加權股價指數,8365.86,+,83,1
臺灣公司治理100指數,4610.36,+,55.26,1.21
臺灣50指數,6116.33,+,81.52,1.35
臺灣中型100指數,6092.23,+,41.69,0.69
臺灣資訊科技指數,7362.66,+,118.35,1.63
臺灣發達指數,7137.51,+,70.07,0.99
臺灣高股息指數,5254.46,+,31.08,0.6
臺灣就業99指數,5086.45,+,55.34,1.1
臺灣高薪100指數,4539.38,+,44.7,0.99
臺灣低波動高股息指數,1277.56,+,13.14,1.04
未含金融保險股指數,7125.79,+,72.19,1.02
未含電子股指數,11894.95,+,76.92,0.65
未含金融電子股指數,10475.57,+,59.78,0.57
小型股300指數,5293.44,+,17.71,0.34
水泥窯製類指數,397.72,+,4.09,1.04
塑膠化工類指數,761.76,+,4.03,0.53
機電類指數,1882.74,+,23.83,1.28
水泥類指數,103.61,+,1.2,1.17
食品類指數,1351.04,+,18.01,1.35
塑膠類指數,217.81,+,0.65,0.3
紡織纖維類指數,537.88,+,2.48,0.46
電機機械類指數,148.44,+,0.99,0.67
電器電纜類指數,29.91,+,0.05,0.17
化學生技醫療類指數,101.38,-,0.04,-0.04
化學類指數,92.46,+,0.21,0.23
生技醫療類指數,79.68,-,0.26,-0.33
玻璃陶瓷類指數,34.76,+,0.11,0.32
造紙類指數,146.27,+,1.1,0.76
鋼鐵類指數,81.05,+,0.07,0.09
橡膠類指數,296.06,+,7.46,2.58
汽車類指數,247.54,+,2.08,0.85
電子類指數,334.4,+,4.32,1.31
半導體類指數,113.66,+,1.81,1.62
電腦及週邊設備類指數,90.18,+,0.4,0.45
光電類指數,29.8,+,0.25,0.85
通信網路類指數,117.61,+,1.82,1.57
電子零組件類指數,71.88,+,0.05,0.07
電子通路類指數,97.9,+,0.18,0.18
資訊服務類指數,81.12,-,0.34,-0.42
其他電子類指數,76.6,+,1.49,1.98
建材營造類指數,216.69,+,1.11,0.51
航運類指數,65,-,0.39,-0.6
觀光類指數,109.17,-,0.76,-0.69
金融保險類指數,915.03,+,7.76,0.86
貿易百貨類指數,207.94,+,0.95,0.46
油電燃氣類指數,108.01,+,1.13,1.06
其他類指數,238.26,+,1.39,0.59
臺指日報酬兩倍指數,10347.41,+,203.3,2
臺指日報酬反向一倍指數,9654.5,-,97.72,-1
電子類兩倍槓桿指數,7782.06,+,198.5,2.62
電子類反向指數,10857.89,-,143.99,-1.31
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10402.41,+,89.01,0.86
發行量加權股價報酬指數,13242.6,+,131.39,1
臺灣公司治理100報酬指數,4787.74,+,57.38,1.21
臺灣50報酬指數,9784.88,+,130.42,1.35
臺灣中型100報酬指數,9101.17,+,62.29,0.69
臺灣資訊科技報酬指數,11199.5,+,180.03,1.63
臺灣發達報酬指數,10314.49,+,101.25,0.99
臺灣高股息報酬指數,9308.43,+,55.05,0.59
臺灣就業99報酬指數,6006.17,+,65.34,1.1
臺灣高薪100報酬指數,4772.33,+,47,0.99
臺灣低波動高股息報酬指數,2634.95,+,27.1,1.04
未含金融電子股報酬指數,16662.13,+,95.09,0.57
小型股300報酬指數,5293.44,+,17.71,0.34
水泥類報酬指數,145.77,+,1.69,1.17
食品類報酬指數,1606.22,+,21.4,1.35
塑膠類報酬指數,277.95,+,0.84,0.3
紡織纖維類報酬指數,679.1,+,3.12,0.46
電機機械類報酬指數,184.97,+,1.24,0.67
電器電纜類報酬指數,34.2,+,0.06,0.18
化學生技醫療類報酬指數,127.26,-,0.06,-0.05
化學類報酬指數,119.14,+,0.26,0.22
生技醫療類報酬指數,94.91,-,0.31,-0.33
玻璃陶瓷類報酬指數,37.33,+,0.11,0.3
造紙類報酬指數,174.62,+,1.31,0.76
鋼鐵類報酬指數,104.54,+,0.09,0.09
橡膠類報酬指數,369.04,+,9.29,2.58
汽車類報酬指數,301.91,+,2.53,0.85
電子類報酬指數,486.07,+,6.28,1.31
半導體類報酬指數,158.15,+,2.51,1.61
電腦及週邊設備類報酬指數,136.71,+,0.61,0.45
光電類報酬指數,36.27,+,0.31,0.86
通信網路類報酬指數,188.43,+,2.91,1.57
電子零組件類報酬指數,103.36,+,0.08,0.08
電子通路類報酬指數,154.41,+,0.29,0.19
資訊服務類報酬指數,129.87,-,0.54,-0.41
其他電子類報酬指數,92.34,+,1.79,1.98
建材營造類報酬指數,297.75,+,1.52,0.51
航運類報酬指數,78.28,-,0.46,-0.58
觀光類報酬指數,123.9,-,0.85,-0.68
金融保險類報酬指數,1182.84,+,10.04,0.86
貿易百貨類報酬指數,252.84,+,1.16,0.46
油電燃氣類報酬指數,129.86,+,1.37,1.07
其他類報酬指數,316.54,+,1.86,0.59
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","73345797595","2051858756","760240"
"2.台灣存託憑證","15777427","3291131","761"
"3.受益憑證","0","0","0"
"4.ETF","9866868616","552371037","73514"
"5.受益證券","2644930","177000","45"
"6.變更交易股票","7345130","2635779","717"
"7.認購(售)權證","2131440160","2.215E+9","58347"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","73353142725","2054494535","760957"
"總計(1~12)","85369873858","4825333703","893624"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2747(10),499(9)
"下跌(跌停)",2456(45),261(1)
"持平",470,105
"未成交",4348,6
"無比價",983,4
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2016年02月25日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","16933970","3204","1033960315","60.6","61.35","60.5","61.1","+","0.8","61.1","338","61.15","3","0.00"
="0051  ","元大中型100     ","24470","18","598071","24.42","24.5","24.4","24.4","+","0.13","24.4","2","24.43","1","0.00"
="0052  ","FB科技          ","5027","5","196524","39.09","39.1","39.09","39.1","X","0","39.13","10","39.45","1","0.00"
="0053  ","元大電子        ","0","0","0","--","--","--","--"," ","0","26.37","8","26.55","1","0.00"
="0054  ","元大台商50      ","5000","5","99930","20.01","20.01","19.95","19.95","+","0.17","19.89","8","20.04","1","0.00"
="0055  ","元大MSCI金融    ","234010","75","2836302","12.02","12.15","12.02","12.12","+","0.1","12.1","11","12.12","5","0.00"
="0056  ","元大高股息      ","1808768","621","40266931","22.15","22.33","22.15","22.24","+","0.09","22.23","5","22.24","5","0.00"
="0057  ","FB摩台          ","10000","2","375600","37.56","37.56","37.56","37.56","+","0.3","37.84","50","37.93","58","0.00"
="0058  ","FB發達          ","0","0","0","--","--","--","--"," ","0","35.19","10","35.44","10","0.00"
="0059  ","FB金融          ","0","0","0","--","--","--","--"," ","0","28.43","1","28.71","2","0.00"
="0060  ","新台灣          ","23003","8","621081","26.96","27.23","26.96","27.23","+","0.36","27.14","10","27.3","1","0.00"
="0061  ","元大寶滬深      ","8042455","2023","123562767","15.62","15.67","15.2","15.26","-","0.17","15.26","192","15.27","1","0.00"
="006203","元大MSCI台灣    ","0","0","0","--","--","--","--"," ","0","28.59","10","28.86","8","0.00"
="006204","永豐臺灣加權    ","1000","1","41340","41.34","41.34","41.34","41.34","+","0.35","41.34","4","41.48","1","0.00"
="006205","FB上証          ","6809522","1512","180887612","27.11","27.17","26.21","26.28","-","0.55","26.27","53","26.28","39","0.00"
="006206","元大上證50      ","1608000","428","40137980","25.41","25.41","24.55","24.69","-","0.36","24.69","1","24.77","50","0.00"
="006207","FH滬深          ","2084140","585","41953555","20.59","20.59","19.86","19.9","-","0.4","19.9","17","19.91","98","0.00"
="006208","FB台50          ","1000","1","34800","34.8","34.8","34.8","34.8","X","0","34.8","1","35.04","2","0.00"
="00631L","元大台灣50正2   ","8929323","1559","162493046","17.97","18.36","17.97","18.3","+","0.48","18.27","3","18.3","466","0.00"
="00632R","元大台灣50反1   ","58639135","11019","1146547067","19.66","19.68","19.47","19.52","-","0.26","19.52","298","19.53","7","0.00"
="00633L","FB上証正2       ","130443456","20162","3432094244","27.11","27.2","25.5","25.6","-","0.83","25.6","1,308","25.62","1","0.00"
="00634R","FB上証反1       ","7221000","991","83557009","11.37","11.72","11.35","11.67","+","0.18","11.67","974","11.68","38","0.00"
="00635U","元大S&P黃金     ","1245000","448","25636180","20.52","20.64","20.52","20.58","+","0.05","20.58","12","20.6","12","0.00"
="00636 ","國泰中國A50     ","3637000","392","56275500","15.7","15.75","15.26","15.31","-","0.24","15.31","4","15.32","40","0.00"
