

2016年03月08日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10056.63,+,6.49,0.06
發行量加權股價指數,8664.31,+,4.76,0.05
臺灣公司治理100指數,4772.62,+,1.85,0.04
臺灣50指數,6327.19,+,12.24,0.19
臺灣中型100指數,6314.48,-,12.61,-0.2
臺灣資訊科技指數,7470.13,+,11.07,0.15
臺灣發達指數,7459.45,+,17.68,0.24
臺灣高股息指數,5338.25,-,45.95,-0.85
臺灣就業99指數,5275.47,-,1.41,-0.03
臺灣高薪100指數,4705.03,-,0.72,-0.02
臺灣低波動高股息指數,1317.28,-,4.92,-0.37
未含金融保險股指數,7361.3,+,6.78,0.09
未含電子股指數,12465.29,-,10.15,-0.08
未含金融電子股指數,10955.23,-,4.18,-0.04
小型股300指數,5496.16,+,1.49,0.03
水泥窯製類指數,424.5,+,7.85,1.88
塑膠化工類指數,802.13,+,1.75,0.22
機電類指數,1930.67,+,3.75,0.19
水泥類指數,108.1,+,0.73,0.68
食品類指數,1377.08,-,5.51,-0.4
塑膠類指數,231.22,+,1.08,0.47
紡織纖維類指數,551.32,-,5.41,-0.97
電機機械類指數,152.72,+,0.88,0.58
電器電纜類指數,32.59,+,0.33,1.02
化學生技醫療類指數,104.91,-,0.61,-0.58
化學類指數,97.86,-,0.58,-0.59
生技醫療類指數,80.5,-,0.46,-0.57
玻璃陶瓷類指數,41.73,+,3.15,8.16
造紙類指數,155.29,+,1.48,0.96
鋼鐵類指數,89.4,+,0.22,0.25
橡膠類指數,307.7,+,0.64,0.21
汽車類指數,257.41,+,3.55,1.4
電子類指數,342.76,+,0.6,0.18
半導體類指數,114.91,+,0.02,0.02
電腦及週邊設備類指數,92.24,-,0.04,-0.04
光電類指數,31.2,+,0.29,0.94
通信網路類指數,119.45,-,0.78,-0.65
電子零組件類指數,75.3,+,0.11,0.15
電子通路類指數,99.56,+,0.05,0.05
資訊服務類指數,85.05,+,0.12,0.14
其他電子類指數,81.03,+,1.01,1.26
建材營造類指數,237.96,-,2.18,-0.91
航運類指數,69.27,+,0.84,1.23
觀光類指數,111.55,+,0.24,0.22
金融保險類指數,964.16,-,1.89,-0.2
貿易百貨類指數,210.39,-,1.68,-0.79
油電燃氣類指數,112.35,-,1.45,-1.27
其他類指數,242.55,-,1.23,-0.5
臺指日報酬兩倍指數,11096.29,+,12.19,0.11
臺指日報酬反向一倍指數,9319.75,-,5.13,-0.06
電子類兩倍槓桿指數,8174.13,+,28.57,0.35
電子類反向指數,10590.54,-,18.6,-0.18
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10764.59,+,6.94,0.06
發行量加權股價報酬指數,13715.02,+,7.54,0.06
臺灣公司治理100報酬指數,4956.25,+,1.92,0.04
臺灣50報酬指數,10122.21,+,19.59,0.19
臺灣中型100報酬指數,9433.18,-,18.84,-0.2
臺灣資訊科技報酬指數,11362.97,+,16.84,0.15
臺灣發達報酬指數,10779.73,+,25.54,0.24
臺灣高股息報酬指數,9456.86,-,81.41,-0.85
臺灣就業99報酬指數,6229.36,-,1.68,-0.03
臺灣高薪100報酬指數,4946.48,-,0.75,-0.02
臺灣低波動高股息報酬指數,2716.88,-,10.14,-0.37
未含金融電子股報酬指數,17425.05,-,6.67,-0.04
小型股300報酬指數,5496.16,+,1.49,0.03
水泥類報酬指數,152.09,+,1.03,0.68
食品類報酬指數,1637.19,-,6.55,-0.4
塑膠類報酬指數,295.07,+,1.39,0.47
紡織纖維類報酬指數,696.07,-,6.83,-0.97
電機機械類報酬指數,190.31,+,1.1,0.58
電器電纜類報酬指數,37.26,+,0.38,1.03
化學生技醫療類報酬指數,131.69,-,0.77,-0.58
化學類報酬指數,126.1,-,0.76,-0.6
生技醫療類報酬指數,95.88,-,0.55,-0.57
玻璃陶瓷類報酬指數,44.82,+,3.38,8.16
造紙類報酬指數,185.39,+,1.77,0.96
鋼鐵類報酬指數,115.32,+,0.28,0.24
橡膠類報酬指數,383.56,+,0.8,0.21
汽車類報酬指數,313.96,+,4.34,1.4
電子類報酬指數,498.22,+,0.88,0.18
半導體類報酬指數,159.9,+,0.04,0.03
電腦及週邊設備類報酬指數,139.84,-,0.06,-0.04
光電類報酬指數,37.96,+,0.35,0.93
通信網路類報酬指數,191.38,-,1.24,-0.64
電子零組件類報酬指數,108.27,+,0.16,0.15
電子通路類報酬指數,157.02,+,0.08,0.05
資訊服務類報酬指數,136.16,+,0.2,0.15
其他電子類報酬指數,97.69,+,1.23,1.28
建材營造類報酬指數,326.98,-,2.99,-0.91
航運類報酬指數,83.42,+,1.01,1.23
觀光類報酬指數,126.6,+,0.28,0.22
金融保險類報酬指數,1246.35,-,2.44,-0.2
貿易百貨類報酬指數,255.82,-,2.03,-0.79
油電燃氣類報酬指數,135.07,-,1.74,-1.27
其他類報酬指數,322.24,-,1.63,-0.5
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","94019043744","2669644449","967917"
"2.台灣存託憑證","26056499","5157225","1142"
"3.受益憑證","0","0","0"
"4.ETF","10636165047","573907468","77052"
"5.受益證券","8311680","535000","68"
"6.變更交易股票","7549361","3725346","677"
"7.認購(售)權證","2641253390","2499521000","71449"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
